k,phase,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,910768139000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
-1,boot,910795938000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0006078733131289482,-0.00606304407119751,-0.0004926167894154787,-1.848466157913208,-0.01868423819541931,-9.487812995910645
-1,boot,910816671000,,,,,0.0,0.0,0.0,1.5,0.3984,0.001982547342777252,0.003941962495446205,0.0006193297449499369,-0.00043714046478271484,0.00015223026275634766,-11.076315879821777
-1,boot,910844403000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00024636415764689445,0.001433940720744431,0.0006580214248970151,-0.0010089874267578125,2.5272369384765625e-05,-14.820303916931152
-1,boot,910872177000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00011279294267296791,-0.00035930017475038767,7.594333874294534e-05,-0.002560853958129883,-1.4781951904296875e-05,-16.81853675842285
-1,boot,910893007000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00012376373342704028,0.00019205153512302786,-0.0001828751410357654,-0.0041577816009521484,1.6450881958007812e-05,-17.613279342651367
-1,boot,910920845000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00011658284347504377,0.00031005992786958814,-0.00016595596389379352,-0.006964445114135742,1.2636184692382812e-05,-18.15102195739746
-1,boot,910948676000,,,,,0.0,0.0,0.0,1.5,0.3984,7.240088598337024e-05,0.00018166516383644193,-9.187751857098192e-06,-0.010287761688232422,8.58306884765625e-06,-18.36833381652832
-1,boot,910976347000,,,,,0.0,0.0,0.0,1.5,0.3984,7.168563024606556e-05,0.00017323109204880893,5.774681631010026e-05,-0.014420270919799805,8.821487426757812e-06,-18.426429748535156
-1,boot,910997260000,,,,,0.0,0.0,0.0,1.5,0.3984,6.685120752081275e-05,0.0001635256048757583,4.14098976762034e-05,-0.017900705337524414,-3.814697265625e-06,-18.415924072265625
