k,phase,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,103750307000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
-1,boot,103778156000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0017577055841684341,-0.005084010306745768,-0.00306179141625762,-2.9730348587036133,-0.041147470474243164,-10.117493629455566
-1,boot,103805806000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0019984208047389984,0.003513676580041647,0.000728204264305532,-0.0003644227981567383,0.00015437602996826172,-11.076333045959473
-1,boot,103826858000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00016864482313394547,0.0021441627759486437,0.0007600295357406139,-0.0008552074432373047,1.52587890625e-05,-14.077536582946777
-1,boot,103854463000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001962789974641055,-0.0003471456002444029,0.00016190098540391773,-0.007216691970825195,-2.7894973754882812e-05,-16.428197860717773
-1,boot,103882259000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0001348994264844805,0.00017105817096307874,-0.00020895604393444955,-0.004023313522338867,1.52587890625e-05,-17.614072799682617
-1,boot,103910079000,,,,,0.0,0.0,0.0,1.5,0.3984,7.29006715118885e-05,0.00025707442546263337,-0.00015823061403352767,-0.009709596633911133,5.0067901611328125e-06,-18.143125534057617
-1,boot,103937817000,,,,,0.0,0.0,0.0,1.5,0.3984,4.6675922931171954e-05,0.0001493453892180696,4.216435627313331e-06,-0.010250091552734375,4.291534423828125e-06,-18.36860466003418
-1,boot,103958669000,,,,,0.0,0.0,0.0,1.5,0.3984,5.110091296955943e-05,0.00014358918997459114,5.879483069293201e-05,-0.013345718383789062,-1.9073486328125e-06,-18.421436309814453
-1,boot,103986445000,,,,,0.0,0.0,0.0,1.5,0.3984,4.5594468247145414e-05,0.0001355107524432242,3.90353161492385e-05,-0.017899036407470703,-1.9073486328125e-06,-18.41596031188965
-1,boot,104014239000,,,,,0.0,0.0,0.0,1.5,0.3984,3.9222053601406515e-05,0.00011716791777871549,-3.8024918467272073e-06,-0.023215055465698242,-5.9604644775390625e-06,-18.363544464111328
-1,boot,104035015000,,,,,0.0,0.0,0.0,1.5,0.3984,3.614785964600742e-05,0.00010621667024679482,-1.633356987440493e-05,-0.027762889862060547,-5.245208740234375e-06,-18.307689666748047
-1,boot,104062886000,,,,,0.0,0.0,0.0,1.5,0.3984,3.155308513669297e-05,9.478874562773854e-05,-9.406379831489176e-06,-0.03424787521362305,2.6226043701171875e-06,-18.22151756286621
