k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,boot,3764449000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999157428741455,-0.0014553070068359375,-9.34029769897461
-1,boot,boot,3792239000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0005811783485114574,-0.005752686411142349,-0.0004940663930028677,-1.8474595546722412,-0.01620405912399292,-9.486047744750977
-1,boot,boot,3813030000,,,,,0.0,0.0,0.0,1.5,0.3984,0.002049380913376808,0.005529297981411219,0.0007215952500700951,-0.0006089210510253906,0.000156402587890625,-11.076190948486328
-1,boot,boot,3840849000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00015347986482083797,0.0031165168620646,0.0006284955888986588,-0.0012803077697753906,1.52587890625e-05,-14.82010555267334
-1,boot,boot,3861686000,,,,,0.0,0.0,0.0,1.5,0.3984,8.75928089953959e-05,0.0008573413942940533,0.0001591607870068401,-0.0020520687103271484,9.775161743164062e-06,-16.440731048583984
-1,boot,boot,3889493000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0003422789741307497,0.001271091983653605,-0.00020683169714175165,-0.004370689392089844,4.124641418457031e-05,-17.613067626953125
-1,boot,boot,3917204000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00026411202270537615,0.001304133329540491,-0.00015619341866113245,-0.006996631622314453,3.266334533691406e-05,-18.15131378173828
-1,boot,boot,3938100000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00022228271700441837,0.0010945623507723212,-2.97616352327168e-05,-0.009446382522583008,2.5987625122070312e-05,-18.333633422851562
-1,boot,boot,3965807000,,,,,0.0,0.0,0.0,1.5,0.3984,0.000205308198928833,0.0009601586498320103,5.819961370434612e-05,-0.013486862182617188,2.5510787963867188e-05,-18.421367645263672
-1,boot,boot,3986744000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00018810434266924858,0.0008864292176440358,4.89253070554696e-05,-0.016897201538085938,2.4318695068359375e-05,-18.422754287719727
-1,boot,boot,4014419000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0001644469448365271,0.0007802502950653434,4.5615306589752436e-06,-0.021907329559326172,2.002716064453125e-05,-18.37964630126953
-1,boot,boot,4042230000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0001453064614906907,0.0006876468542031944,-1.6144811525009573e-05,-0.027814149856567383,1.6927719116210938e-05,-18.307781219482422
-1,boot,boot,4063084000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00013214029604569077,0.0006266786367632449,-1.224829611601308e-05,-0.032625675201416016,1.7881393432617188e-05,-18.244037628173828
-1,boot,boot,4097953000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00011323310900479555,0.0005355604807846248,1.782631443347782e-06,-0.04149770736694336,1.6689300537109375e-05,-18.126501083374023
-1,boot,boot,4125698000,,,,,0.0,0.0,0.0,1.5,0.3984,9.999360190704465e-05,0.0004731114022433758,4.156307113589719e-06,-0.049310922622680664,1.3589859008789062e-05,-18.02707862854004
-1,boot,boot,4146587000,,,,,0.0,0.0,0.0,1.5,0.3984,9.102514013648033e-05,0.0004301558656152338,2.15875479625538e-06,-0.05569958686828613,1.1444091796875e-05,-17.949743270874023
-1,boot,boot,4174503000,,,,,0.0,0.0,0.0,1.5,0.3984,8.027805597521365e-05,0.0003796596429310739,-7.266135071404278e-07,-0.04623913764953613,1.52587890625e-05,-17.898103713989258
-1,boot,boot,4202196000,,,,,0.0,0.0,0.0,1.5,0.3984,7.078985800035298e-05,0.0003349678299855441,-1.0694820957724005e-06,-0.0743248462677002,8.344650268554688e-06,-17.737594604492188
-1,boot,boot,4223095000,,,,,0.0,0.0,0.0,1.5,0.3984,6.44228421151638e-05,0.0003051874227821827,-4.499670467339456e-07,-0.08192753791809082,8.58306884765625e-06,-17.656103134155273
-1,boot,boot,4250839000,,,,,0.0,0.0,0.0,1.5,0.3984,5.6670833146199584e-05,0.00026962358970195055,2.2518725018016994e-07,-0.09272217750549316,7.62939453125e-06,-17.545896530151367
-1,boot,boot,4278618000,,,,,0.0,0.0,0.0,1.5,0.3984,5.0291273510083556e-05,0.0002376631455263123,2.8763497539330274e-07,-0.10402727127075195,6.67572021484375e-06,-17.434354782104492
-1,boot,boot,4299487000,,,,,0.0,0.0,0.0,1.5,0.3984,4.5704597141593695e-05,0.00021617770835291594,6.088703230489045e-08,-0.1129903793334961,-7.152557373046875e-07,-17.3498592376709
-1,boot,boot,4327223000,,,,,0.0,0.0,0.0,1.5,0.3984,4.049895505886525e-05,0.00019141187658533454,-1.9712024368345737e-07,-0.12530183792114258,-1.1920928955078125e-06,-17.236469268798828
-1,boot,boot,4355047000,,,,,0.0,0.0,0.0,1.5,0.3984,3.574338916223496e-05,0.00016846648941282183,-2.762171789072454e-07,-0.13850164413452148,2.384185791015625e-07,-17.121204376220703
