k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,boot,41527538000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.9992222785949707,-0.0023180246353149414,-9.340276718139648
-1,boot,boot,41548402000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.008355489932000637,-0.010871978476643562,-0.0033515701070427895,-2.975612163543701,0.07532906532287598,-8.356359481811523
-1,boot,boot,41576129000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0024027612525969744,0.002130436012521386,0.0005174596444703639,-0.00014829635620117188,0.0001634359359741211,-9.795563697814941
-1,boot,boot,41596965000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0007092647720128298,0.0031366669572889805,0.0008317603496834636,-0.0007076263427734375,6.365776062011719e-05,-13.212625503540039
-1,boot,boot,41624751000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00029423669911921024,-0.00016494444571435452,0.0003183763474225998,-0.0016601085662841797,-3.24249267578125e-05,-15.988993644714355
-1,boot,boot,41652569000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0001033875741995871,2.2435015125665814e-05,-0.00016255109221674502,-0.0035545825958251953,1.1682510375976562e-05,-17.396617889404297
-1,boot,boot,41673364000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00011858181096613407,0.00029665519832633436,-0.00022002174227964133,-0.005366325378417969,1.3828277587890625e-05,-17.93761444091797
-1,boot,boot,41708094000,,,,,0.0,0.0,0.0,1.5,0.3984,4.6675108023919165e-05,0.00016235702787525952,-3.0256735044531524e-05,-0.009465932846069336,5.245208740234375e-06,-18.333280563354492
-1,boot,boot,41735881000,,,,,0.0,0.0,0.0,1.5,0.3984,5.150429205968976e-05,0.00014369512791745365,5.8911246014758945e-05,-0.013317108154296875,7.867813110351562e-06,-18.42154312133789
-1,boot,boot,41756747000,,,,,0.0,0.0,0.0,1.5,0.3984,4.837197775486857e-05,0.00013954851601738483,4.954521864419803e-05,-0.01662421226501465,-1.1920928955078125e-06,-18.42319679260254
-1,boot,boot,41784504000,,,,,0.0,0.0,0.0,1.5,0.3984,4.0726772567722946e-05,0.00012114818673580885,4.783358235727064e-06,-0.021912813186645508,3.5762786865234375e-06,-18.37942886352539
-1,boot,boot,41812267000,,,,,0.0,0.0,0.0,1.5,0.3984,3.634286986198276e-05,0.00010633477359078825,-1.634590262256097e-05,-0.027762174606323242,-9.5367431640625e-07,-18.307762145996094
-1,boot,boot,41833211000,,,,,0.0,0.0,0.0,1.5,0.3984,3.302492405055091e-05,9.738920198287815e-05,-1.2377315215417184e-05,-0.03261113166809082,-1.6689300537109375e-06,-18.243850708007812
-1,boot,boot,41860995000,,,,,0.0,0.0,0.0,1.5,0.3984,2.919635153375566e-05,8.579269342590123e-05,-3.442992237978615e-07,-0.039533376693725586,-5.245208740234375e-06,-18.151260375976562
-1,boot,boot,41881705000,,,,,0.0,0.0,0.0,1.5,0.3984,2.6566238375380635e-05,7.824505883036181e-05,4.156682734901551e-06,-0.045289039611816406,-4.291534423828125e-06,-18.077714920043945
