k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,boot,299873795000,,,,,0.0,0.0,0.0,1.0,0.2656,0.0,0.0,-0.0,-2.999107837677002,-0.0023604631423950195,-9.340312957763672
1,prog,g0+a,299894640000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,-0.008483038283884525,-0.010593620128929615,-0.0001694981474429369,-3.055415630340576,0.05363571643829346,-8.35628890991211
2,prog,g0+a,299922372000,-0.48,-0.04735669,-0.0,0.15347134,-0.14870000659999993,-0.0,0.4819000076000002,1.3,0.34528000000000003,0.00020201411098241806,-0.011030454188585281,-0.13883055746555328,-1.4200011491775513,0.0005083903670310974,-9.312695503234863
3,prog,g0+a,299950140000,-0.48,-0.04792994,-0.0,0.14480892,-0.1505000115999997,-0.0,0.45470000880000017,1.3,0.34528000000000003,0.3060481548309326,-0.03598722815513611,-1.078444004058838,-0.03386640548706055,0.025357365608215332,-11.576252937316895
4,prog,g0,299977985000,-0.66116,-0.04640127,-0.0,0.10210191,-0.14569998780000004,-0.0,0.3205999974,0.8471000000000001,0.22498976,0.5156479477882385,-0.0014816522598266602,-1.6610934734344482,-0.0008869171142578125,0.04650616645812988,-12.981661796569824
5,prog,g0,300005737000,-0.66116,-0.04640127,-0.0,0.10210191,-0.14569998780000004,-0.0,0.3205999974,0.8471000000000001,0.22498976,0.42185458540916443,0.028643369674682617,-1.3660014867782593,-0.005050063133239746,0.033263444900512695,-11.324625015258789
6,prog,g0,300026583000,-0.646864,-0.10605096,-0.0,-0.05987261,-0.33300001440000004,-0.0,-0.1879999953999998,0.8828400000000001,0.23448230400000003,0.3907105326652527,0.011264145374298096,-0.9038993716239929,-0.005174398422241211,0.020404577255249023,-7.461496829986572
7,prog,g0,300054328000,-0.65378,-0.11458599,-0.0,-0.08506369,-0.35980000860000017,-0.0,-0.2670999865999999,0.8655499999999999,0.22989008,0.7552793622016907,0.1047021746635437,-0.16573789715766907,-0.013520479202270508,0.06055605411529541,-11.610029220581055
8,prog,g0,300082087000,-0.637776,-0.05888535,-0.0,-0.07519108,-0.18489999899999976,-0.0,-0.2360999911999997,0.9055599999999999,0.24051673599999998,1.0625383853912354,0.054834187030792236,0.8169476389884949,-0.0137864351272583,0.05480623245239258,-7.383213520050049
9,prog,g0,300103052000,-0.637776,-0.05888535,-0.0,-0.07519108,-0.18489999899999976,-0.0,-0.2360999911999997,0.9055599999999999,0.24051673599999998,0.9008323550224304,-0.042674720287323,1.0876421928405762,-0.012420237064361572,0.03896188735961914,-6.16152286529541
10,prog,g0,300130820000,-0.637776,-0.05888535,-0.0,-0.07519108,-0.18489999899999976,-0.0,-0.2360999911999997,0.9055599999999999,0.24051673599999998,0.45978742837905884,-0.03570067882537842,0.8521361351013184,-0.01749706268310547,0.022571563720703125,-6.878189563751221
11,prog,g0,300158611000,-0.633648,0.02557325,-0.0,0.02566879,0.08030000500000023,-0.0,0.0806000006000005,0.91588,0.243257728,0.4870143532752991,-0.001196354627609253,0.5635737180709839,-0.024873733520507812,0.0263594388961792,-7.519495010375977
12,prog,g0,300186287000,-0.63454,0.05171975,-0.0,0.06955414,0.1624000149999998,-0.0,0.2183999995999999,0.9136500000000001,0.24266544,0.1571331024169922,0.038231413811445236,0.2775784432888031,-0.033860623836517334,0.011483192443847656,-9.230569839477539
