k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,k_tick
-1,boot,boot,260198543000,,,,,0.0,0.0,0.0,1.0,0.2656,0.0,0.0,-0.0,-2.999202251434326,-0.0023229122161865234,-9.340283393859863,0
0,prog,g0+a,260226337000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,-0.0013652825728058815,-0.010565876960754395,-3.5878736525774e-05,-3.010331630706787,-0.051769137382507324,-10.098000526428223,1
1,prog,g0+a,260254134000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,0.003252590075135231,-0.0008356347680091858,-0.18835167586803436,-1.0001031160354614,-0.002847611904144287,-9.370709419250488,2
1,prog,g0+a,260274943000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,0.08446940034627914,-0.008719250559806824,-0.7972879409790039,0.0003854036331176758,0.006349682807922363,-10.823214530944824,3
3,prog,g0+a,260302712000,-0.48,-0.04792994,-0.0,0.14480892,-0.1505000115999997,-0.0,0.45470000880000017,1.3,0.34528000000000003,0.0996231734752655,0.005927860736846924,-1.188980221748352,-0.001637101173400879,0.008808255195617676,-12.708159446716309,4
3,prog,g0+a,260323543000,-0.48,-0.04792994,-0.0,0.14480892,-0.1505000115999997,-0.0,0.45470000880000017,1.3,0.34528000000000003,0.20945416390895844,-0.002974957227706909,-1.1784471273422241,-0.0020029544830322266,0.01985025405883789,-13.617240905761719,5
4,prog,g0,260351288000,-0.66116,-0.04640127,-0.0,0.10210191,-0.14569998780000004,-0.0,0.3205999974,0.8471000000000001,0.22498976,0.4929024279117584,-0.006895720958709717,-1.2441351413726807,-0.0036115646362304688,0.049002885818481445,-14.286127090454102,6
5,prog,g0,260372231000,-0.66116,-0.04640127,-0.0,0.10210191,-0.14569998780000004,-0.0,0.3205999974,0.8471000000000001,0.22498976,0.45079898834228516,0.007290065288543701,-1.209985375404358,-0.006965041160583496,0.04055941104888916,-12.898714065551758,7
6,prog,g0,260399961000,-0.646864,-0.10605096,-0.0,-0.05987261,-0.33300001440000004,-0.0,-0.1879999953999998,0.8828400000000001,0.23448230400000003,0.39197590947151184,0.005873143672943115,-0.899708092212677,-0.009788095951080322,0.011990547180175781,-4.278624534606934,8
7,prog,g0,260420799000,-0.65378,-0.11458599,-0.0,-0.08506369,-0.35980000860000017,-0.0,-0.2670999865999999,0.8655499999999999,0.22989008,0.5867279767990112,0.05486154556274414,-0.5613956451416016,-0.01730632781982422,0.052105069160461426,-12.645570755004883,9
8,prog,g0,260448578000,-0.637776,-0.05888535,-0.0,-0.07519108,-0.18489999899999976,-0.0,-0.2360999911999997,0.9055599999999999,0.24051673599999998,1.03628671169281,0.11342710256576538,0.5624567866325378,-0.022687315940856934,0.053485989570617676,-7.339381217956543,10
9,prog,g0,260469503000,-0.637776,-0.05888535,-0.0,-0.07519108,-0.18489999899999976,-0.0,-0.2360999911999997,0.9055599999999999,0.24051673599999998,0.9043310880661011,-0.02313077449798584,1.0559272766113281,-0.019959688186645508,0.03621542453765869,-5.648428916931152,11
11,prog,g0,260504158000,-0.633648,0.02557325,-0.0,0.02566879,0.08030000500000023,-0.0,0.0806000006000005,0.91588,0.243257728,0.44337618350982666,-0.037779390811920166,0.8708796501159668,-0.02548903226852417,0.020366430282592773,-6.47607946395874,12
12,prog,g0,260531907000,-0.63454,0.05171975,-0.0,0.06955414,0.1624000149999998,-0.0,0.2183999995999999,0.9136500000000001,0.24266544,-0.07602377235889435,0.06133116036653519,0.16431638598442078,-0.03920227289199829,-0.0035102367401123047,-9.427824020385742,13
13,prog,g0,260552723000,-0.63454,0.05171975,-0.0,0.06955414,0.1624000149999998,-0.0,0.2183999995999999,0.9136500000000001,0.24266544,-0.43516987562179565,0.05019873380661011,-0.4881528615951538,-0.04375654458999634,-0.023981928825378418,-8.679372787475586,14
14,prog,g0,260580501000,-0.636596,0.06041401,-0.0,0.0989172,0.18969999139999993,-0.0,0.3106000080000002,0.9085099999999999,0.241300256,-0.5019634366035461,-0.03185024857521057,-0.9104565978050232,-0.046287596225738525,-0.02437746524810791,-8.047940254211426,15
15,prog,g0,260601390000,-0.64338,0.05226115,-0.0,0.10961783,0.16410001100000038,-0.0,0.3441999861999996,0.8915500000000001,0.23679568,-0.49705708026885986,-0.029381752014160156,-0.9238588213920593,-0.05233806371688843,-0.022502541542053223,-8.005143165588379,16
16,prog,g0,260629168000,-0.64338,0.05226115,-0.0,0.10961783,0.16410001100000038,-0.0,0.3441999861999996,0.8915500000000001,0.23679568,-0.4793323874473572,-0.006418943405151367,-0.9064991474151611,-0.06136816740036011,-0.018844962120056152,-7.842007160186768,17
16,prog,g0,260649997000,-0.64338,0.05226115,-0.0,0.10961783,0.16410001100000038,-0.0,0.3441999861999996,0.8915500000000001,0.23679568,-0.4459783434867859,-0.003288745880126953,-0.9209645390510559,-0.06746447086334229,-0.015076994895935059,-7.806349277496338,18
18,prog,g0,260677791000,-0.638484,0.02958599,-0.0,0.05630573,0.09290000860000003,-0.0,0.1767999922000003,0.9037899999999999,0.24004662399999996,-0.4503710865974426,-0.0048286765813827515,-0.93758225440979,-0.07563334703445435,-0.012805938720703125,-7.9337639808654785,19
18,prog,g0,260698619000,-0.638484,0.02958599,-0.0,0.05630573,0.09290000860000003,-0.0,0.1767999922000003,0.9037899999999999,0.24004662399999996,-0.40540385246276855,-0.00971934199333191,-0.8663145899772644,-0.08141005039215088,-0.008572578430175781,-8.138836860656738,20
20,prog,g0,260726386000,-0.637848,-0.06687898,-0.0,-0.11729299,-0.20999999720000018,-0.0,-0.3682999886,0.9053800000000001,0.24046892800000003,-0.24399366974830627,-0.01116129755973816,-0.49116280674934387,-0.09021365642547607,0.002942323684692383,-8.477523803710938,21
21,prog,g0,260754378000,-0.629592,-0.0244586,-0.0,-0.1088535,-0.07680000399999987,-0.0,-0.34179999000000016,0.9260199999999998,0.24595091199999997,0.22174593806266785,0.10128150880336761,0.11284075677394867,-0.10897219181060791,0.03728795051574707,-11.52287483215332,22
21,prog,g0,260775129000,-0.629592,-0.0244586,-0.0,-0.1088535,-0.07680000399999987,-0.0,-0.34179999000000016,0.9260199999999998,0.24595091199999997,0.4026964604854584,0.05121861398220062,0.8935299515724182,-0.11389470100402832,0.04918396472930908,-10.57802677154541,23
23,prog,g0,260802823000,-0.612364,0.01678344,-0.0,-0.0661465,0.05270000159999988,-0.0,-0.20770000999999993,0.96909,0.257390304,0.19344589114189148,-0.0539679080247879,1.3109418153762817,-0.12182176113128662,0.029908061027526855,-8.724398612976074,24
23,prog,g0,260823650000,-0.612364,0.01678344,-0.0,-0.0661465,0.05270000159999988,-0.0,-0.20770000999999993,0.96909,0.257390304,-0.027833178639411926,-0.019400984048843384,1.057564377784729,-0.13568925857543945,0.015321016311645508,-8.889148712158203,25
25,prog,g0,260851362000,-0.612344,0.06181529,-0.0,0.0488535,0.1941000105999997,-0.0,0.15339999000000049,0.96914,0.257403584,-0.216146320104599,0.0006920993328094482,0.5050752758979797,-0.15266919136047363,0.0028908252716064453,-9.326321601867676,26
26,prog,g0,260879159000,-0.612344,0.06181529,-0.0,0.0488535,0.1941000105999997,-0.0,0.15339999000000049,0.96914,0.257403584,-0.40958672761917114,0.03781914710998535,0.018517974764108658,-0.1702263355255127,-0.011613249778747559,-10.309515953063965,27
26,prog,g0,260900130000,-0.612344,0.06181529,-0.0,0.0488535,0.1941000105999997,-0.0,0.15339999000000049,0.96914,0.257403584,-0.5938594937324524,0.022396326065063477,-0.4628027081489563,-0.2138376235961914,-0.012100577354431152,-10.002994537353516,28
28,prog,g0,260927869000,-0.612344,0.06181529,-0.0,0.0488535,0.1941000105999997,-0.0,0.15339999000000049,0.96914,0.257403584,-0.583329975605011,-0.029261857271194458,-0.6600703001022339,-0.18913805484771729,-0.014697909355163574,-9.353153228759766,29
28,prog,g0,260948688000,-0.612344,0.06181529,-0.0,0.0488535,0.1941000105999997,-0.0,0.15339999000000049,0.96914,0.257403584,-0.5556569695472717,-0.025348126888275146,-0.5529809594154358,-0.19909334182739258,-0.0098496675491333,-9.21912956237793,30
30,prog,g0,260976535000,-0.61082,0.05133758,-0.0,0.05519108,0.1612000012000001,-0.0,0.17329999119999995,0.97295,0.25841552,-0.5564281344413757,-0.009156793355941772,-0.37991851568222046,-0.21371328830718994,-0.007214546203613281,-9.238822937011719,31
31,prog,g0,261004214000,-0.607444,0.05085987,-0.0,0.04280255,0.15969999180000016,-0.0,0.134400007,0.98139,0.260657184,-0.5054317712783813,-0.0036002397537231445,-0.3579639792442322,-0.22830629348754883,-0.0020639896392822266,-9.374439239501953,32
31,prog,g0,261025165000,-0.607444,0.05085987,-0.0,0.04280255,0.15969999180000016,-0.0,0.134400007,0.98139,0.260657184,-0.4563233256340027,-0.005849510431289673,-0.3870468735694885,-0.2390739917755127,0.002397000789642334,-9.562663078308105,33
33,prog,g0,261052830000,-0.576508,0.03455414,-0.0,0.01455414,0.10849999960000023,-0.0,0.04569999960000004,1.05873,0.281198688,-0.46174266934394836,-0.007367193698883057,-0.3718898892402649,-0.25378477573394775,0.004271566867828369,-9.611714363098145,34
33,prog,g0,261073802000,-0.576508,0.03455414,-0.0,0.01455414,0.10849999960000023,-0.0,0.04569999960000004,1.05873,0.281198688,-0.4284766614437103,-0.007648259401321411,-0.3290828764438629,-0.2649742364883423,0.007384240627288818,-9.851120948791504,35
35,prog,g0,261101501000,-0.574288,0.00719745,-0.0,-0.02353503,0.02259999300000004,-0.0,-0.07389999420000004,1.06428,0.28267276799999996,-0.3098442852497101,-0.007786870002746582,-0.14527808129787445,-0.28076112270355225,0.015660107135772705,-10.358602523803711,36
35,prog,g0,261122482000,-0.574288,0.00719745,-0.0,-0.02353503,0.02259999300000004,-0.0,-0.07389999420000004,1.06428,0.28267276799999996,-0.2496328204870224,-0.005101889371871948,-0.02453112229704857,-0.2937856912612915,0.019841432571411133,-10.588333129882812,37
37,prog,g0,261157067000,-0.54398,0.00464968,-0.0,-0.02350318,0.014599995199999771,-0.0,-0.07379998519999997,1.14005,0.30279728,-0.0493023619055748,-0.0039201900362968445,0.2446250021457672,-0.31716954708099365,0.03304648399353027,-10.798112869262695,38
38,prog,g0,261177885000,-0.54398,0.00464968,-0.0,-0.02350318,0.014599995199999771,-0.0,-0.07379998519999997,1.14005,0.30279728,-0.05486925691366196,-0.005982212722301483,0.2820400893688202,-0.3320218324661255,0.031025290489196777,-11.2393217086792,39
39,prog,g0,261205777000,-0.545804,0.00372611,-0.0,-0.01356688,0.011699985399999502,-0.0,-0.042600003200000014,1.13549,0.30158614400000006,-0.0616932287812233,-0.003744959831237793,0.22929321229457855,-0.38154494762420654,0.027094006538391113,-11.676817893981934,40
40,prog,g0,261226614000,-0.54422,0.01095541,-0.0,0.0016242,0.034399987400000054,-0.0,0.005099988,1.1394499999999999,0.30263791999999995,-0.054754722863435745,-0.0030501820147037506,0.16325674951076508,-0.3679860830307007,0.028010666370391846,-11.858527183532715,41
41,prog,g0,261254346000,-0.530028,0.01914013,-0.0,0.00624204,0.060100008200000055,-0.0,0.01960000560000008,1.1749299999999998,0.31206140799999993,-0.08356176316738129,-0.002283535897731781,0.05647780001163483,-0.38826870918273926,0.024718403816223145,-11.979451179504395,42
42,prog,g0,261282096000,-0.532828,0.01767516,-0.0,0.01315287,0.05550000240000008,-0.0,0.0413000118000002,1.1679300000000001,0.31020220800000003,-0.1649506390094757,-0.0016748234629631042,-0.051277145743370056,-0.4081239700317383,0.017524123191833496,-12.23614501953125,43
43,prog,g0,261302971000,-0.532828,0.01767516,-0.0,0.01315287,0.05550000240000008,-0.0,0.0413000118000002,1.1679300000000001,0.31020220800000003,-0.18925392627716064,-0.0024355798959732056,-0.1033744364976883,-0.42280113697052,0.01547771692276001,-12.38121223449707,44
44,prog,g0,261330898000,-0.532828,0.01767516,-0.0,0.01315287,0.05550000240000008,-0.0,0.0413000118000002,1.1679300000000001,0.31020220800000003,-0.16832411289215088,-0.002642296254634857,-0.13392756879329681,-0.49691057205200195,0.011829525232315063,-12.39306354522705,45
45,prog,g0,261351717000,-0.53342,0.01703822,-0.0,0.01171975,0.05350001080000011,-0.0,0.03680001499999985,1.16645,0.30980912,-0.1647314429283142,-0.0021980851888656616,-0.12647047638893127,-0.45737791061401367,0.018245697021484375,-12.487357139587402,46
46,prog,g0,261379492000,-0.533072,0.01570064,-0.0,0.00792994,0.049300009599999584,-0.0,0.024900011599999772,1.1673200000000001,0.31004019200000005,-0.16406334936618805,-0.0018566697835922241,-0.1044609546661377,-0.4773627519607544,0.018545597791671753,-12.488883972167969,47
46,prog,g0,261400326000,-0.533072,0.01570064,-0.0,0.00792994,0.049300009599999584,-0.0,0.024900011599999772,1.1673200000000001,0.31004019200000005,-0.15392152965068817,-0.0017686858773231506,-0.08303872495889664,-0.4927915334701538,0.019451439380645752,-12.4834566116333,48
48,prog,g0,261428129000,-0.532992,0.01926752,-0.0,0.00124204,0.06050001280000039,-0.0,0.0039000055999998118,1.16752,0.31009331199999995,-0.14680306613445282,-0.0015061721205711365,-0.05730526149272919,-0.5135321617126465,0.019909530878067017,-12.472673416137695,49
48,prog,g0,261448926000,-0.532992,0.01926752,-0.0,0.00124204,0.06050001280000039,-0.0,0.0039000055999998118,1.16752,0.31009331199999995,-0.15771916508674622,-0.001344330608844757,-0.048448480665683746,-0.5294146537780762,0.01873832941055298,-12.462648391723633,50
50,prog,g0,261476776000,-0.530424,0.01079618,-0.0,0.00315287,0.03390000520000003,-0.0,0.009900011800000108,1.17394,0.311798464,-0.1851976215839386,-0.00145702064037323,-0.016044173389673233,-0.5509155988693237,0.015857011079788208,-12.44727611541748,51
50,prog,g0,261497635000,-0.530424,0.01079618,-0.0,0.00315287,0.03390000520000003,-0.0,0.009900011800000108,1.17394,0.311798464,-0.1621585190296173,-0.0010255500674247742,-0.0019286051392555237,-0.5683413743972778,0.01712457835674286,-12.452613830566406,52
51,prog,g0,261525384000,-0.530424,0.01079618,-0.0,0.00315287,0.03390000520000003,-0.0,0.009900011800000108,1.17394,0.311798464,-0.09301230311393738,-0.0008355304598808289,-0.013228552415966988,-0.5901949405670166,0.022364690899848938,-12.47918701171875,53
53,prog,g0,261553132000,-0.530424,0.01079618,-0.0,0.00315287,0.03390000520000003,-0.0,0.009900011800000108,1.17394,0.311798464,-0.09983910620212555,-0.0007788315415382385,-0.028804592788219452,-0.6117204427719116,0.02119159698486328,-12.481705665588379,54
54,prog,g0,261580882000,-0.528396,0.01735669,-0.0,0.00812102,0.05450000659999965,-0.0,0.025500002799999866,1.1790100000000001,0.31314505600000003,-0.10601650923490524,-0.0007890388369560242,-0.031857606023550034,-0.6339050531387329,0.01998976618051529,-12.471022605895996,55
55,prog,g0,261608722000,-0.530896,0.01799363,-0.0,0.00968153,0.05649999820000051,-0.0,0.030400004199999664,1.1727599999999998,0.3114850559999999,-0.154218852519989,-0.00031729787588119507,-0.045775532722473145,-0.6528627872467041,0.016091685742139816,-12.499310493469238,56
56,prog,g0,261629534000,-0.527156,0.02031847,-0.0,0.00550955,0.06379999580000018,-0.0,0.017299986999999906,1.1821100000000002,0.3139684160000001,-0.17413653433322906,-0.0002965107560157776,-0.06861227750778198,-0.6720731258392334,0.013602536171674728,-12.466946601867676,57
57,prog,g0,261657321000,-0.527152,0.01843949,-0.0,0.00442675,0.05789999859999995,-0.0,0.01389999499999961,1.18212,0.313971072,-0.1864897757768631,-0.000774681568145752,-0.07370615750551224,-0.6957396268844604,0.011933159083127975,-12.491090774536133,58
58,prog,g0,261678212000,-0.527152,0.01843949,-0.0,0.00442675,0.05789999859999995,-0.0,0.01389999499999961,1.18212,0.313971072,-0.17938975989818573,-0.000807449221611023,-0.05326054245233536,-0.7126286029815674,0.012205265462398529,-12.503085136413574,59
59,prog,g0,261705961000,-0.526444,0.01697452,-0.0,0.0016242,0.05329999279999997,-0.0,0.005099988,1.1838899999999999,0.314441184,-0.1677888184785843,-0.0004498511552810669,-0.02906573936343193,-0.7355962991714478,0.01246999204158783,-12.500752449035645,60
60,prog,g0,261726847000,-0.523368,0.01449045,-0.0,0.0,0.04550001300000028,-0.0,0.0,1.1915799999999999,0.31648364799999995,-0.1615574061870575,-0.0003670006990432739,-0.0198158398270607,-0.7530295848846436,0.01240067183971405,-12.501051902770996,61
61,prog,g0,261754554000,-0.523368,0.01449045,-0.0,0.0,0.04550001300000028,-0.0,0.0,1.1915799999999999,0.31648364799999995,-0.1427881419658661,-0.00040172040462493896,-0.006604800000786781,-0.77638840675354,0.012997239828109741,-12.536044120788574,62
61,prog,g0,261775439000,-0.523368,0.01449045,-0.0,0.0,0.04550001300000028,-0.0,0.0,1.1915799999999999,0.31648364799999995,-0.13202455639839172,-0.0003643631935119629,0.002123706042766571,-0.7913740873336792,0.014036893844604492,-12.56489086151123,63
63,prog,g0,261803170000,-0.521568,0.02589172,-0.0,0.00073248,0.08130000079999977,-0.0,0.002299987199999798,1.1960799999999998,0.31767884799999996,-0.13474884629249573,-0.00026292353868484497,0.004819134250283241,-0.8176578283309937,0.011542081832885742,-12.56626033782959,64
