t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99102,0.13368,0,0,0,0,0,0,0,0,0,0,0,0,2.2921,2.6112,2.6116,2.2917,0,0,0,-640.68,-176.84,50.923
0.01,-2.6429e-07,-7.2624e-08,-0.02,0.0016502,0.00022132,-0.99102,0.13368,-0.00010545,-2.8944e-05,8.3801e-06,0.0011398,0.66005,1.0593e-06,-0.031503,-0.0086308,0.0025034,0,0,0,2.3002,2.6044,2.6029,2.3016,-6.2477,-1.7052,0.49643,-608.98,-164.27,48.371
0.02,-4.1864e-06,-1.1452e-06,-0.02,0.0064837,0.00085688,-0.991,0.13368,-0.00083306,-0.00022738,6.6192e-05,0.0059839,1.2838,1.6575e-05,-0.12391,-0.033691,0.0098443,0,0,0,2.3101,2.5985,2.5954,2.3133,-12.182,-3.2865,0.96759,-577.97,-152.05,45.87
0.03,-2.0981e-05,-5.7137e-06,-0.019998,0.014316,0.0018866,-0.99113,0.1321,-0.0027763,-0.00075346,0.00022056,0.008435,1.8696,8.1941e-05,-0.27412,-0.07396,0.021773,0,0,0,2.3227,2.5934,2.5897,2.3268,-17.81,-4.7474,1.414,-547.65,-140.18,43.419
0.04,-6.5644e-05,-1.7795e-05,-0.019995,0.024954,0.0032568,-0.99102,0.13135,-0.006498,-0.0017533,0.00051612,0.014862,2.4147,0.00025245,-0.4791,-0.12825,0.038043,0,0,0,2.3381,2.5901,2.5854,2.3436,-23.137,-6.0912,1.8361,-518.01,-128.65,41.018
0.05,-0.00015865,-4.2808e-05,-0.019987,0.038187,0.0049342,-0.99069,0.13057,-0.012531,-0.0033613,0.0009951,0.022983,2.9157,0.00059947,-0.73589,-0.1954,0.058416,0,0,0,2.3576,2.5888,2.5834,2.3646,-28.172,-7.3214,2.2345,-489.04,-117.45,38.667
0.06,-0.00032565,-8.746e-05,-0.019974,0.05378,0.0068777,-0.99006,0.12975,-0.021379,-0.0057005,0.0016973,0.032702,3.3677,0.0012058,-1.0416,-0.27431,0.082656,0,0,0,2.3823,2.5903,2.5843,2.3908,-32.92,-8.4413,2.6096,-460.74,-106.59,36.364
0.07,-0.00059719,-0.00015963,-0.019953,0.07147,0.0090433,-0.98904,0.12888,-0.033516,-0.008883,0.0026603,0.043891,3.7658,0.0021598,-1.3934,-0.36388,0.11053,0,0,0,2.4132,2.5954,2.5892,2.4234,-37.389,-9.4544,2.962,-433.1,-96.066,34.109
0.08,-0.0010084,-0.00026827,-0.01992,0.090966,0.011384,-0.98753,0.12795,-0.04939,-0.01301,0.0039194,0.056396,4.1045,0.0035489,-1.7885,-0.46305,0.14182,0,0,0,2.4513,2.6052,2.5989,2.4631,-41.584,-10.364,3.292,-406.11,-85.865,31.903
0.09,-0.0015989,-0.00042329,-0.019873,0.11195,0.013851,-0.98547,0.12696,-0.069421,-0.018173,0.0055074,0.070028,4.3793,0.0054524,-2.2242,-0.57082,0.1763,0,0,0,2.4973,2.6208,2.6148,2.5107,-45.513,-11.173,3.6002,-379.77,-75.987,29.744
0.1,-0.002412,-0.00063545,-0.019809,0.13408,0.016392,-0.9828,0.1259,-0.094,-0.024452,0.0074553,0.084575,4.5869,0.0079343,-2.6978,-0.68618,0.21375,0,0,0,2.5516,2.6436,2.6381,2.5666,-49.182,-11.885,3.887,-354.07,-66.428,27.633
0.11,-0.0034953,-0.00091628,-0.019723,0.15699,0.018957,-0.9795,0.12477,-0.1235,-0.031918,0.0097917,0.099805,4.7262,0.011038,-3.207,-0.80819,0.25397,0,0,0,2.6146,2.6747,2.67,2.631,-52.597,-12.502,4.153,-329.01,-57.185,25.568
0.12,-0.0048995,-0.001278,-0.019611,0.18035,0.021496,-0.97557,0.12359,-0.15825,-0.040635,0.012543,0.11548,4.7982,0.014781,-3.749,-0.93593,0.29675,0,0,0,2.6862,2.7155,2.7116,2.7038,-55.764,-13.029,4.3986,-304.58,-48.254,23.55
0.13,-0.0066788,-0.0017333,-0.01947,0.20381,0.023963,-0.97104,0.12237,-0.19858,-0.050653,0.015734,0.13136,4.8068,0.019156,-4.3214,-1.0685,0.34188,0,0,0,2.7662,2.7668,2.764,2.7849,-58.691,-13.468,4.6242,-280.78,-39.632,21.578
0.14,-0.0088906,-0.0022955,-0.019295,0.22707,0.026315,-0.96596,0.1211,-0.24477,-0.062018,0.019388,0.14724,4.7579,0.024132,-4.922,-1.205,0.38916,0,0,0,2.8544,2.8294,2.8278,2.874,-61.382,-13.823,4.8303,-257.58,-31.313,19.652
0.15,-0.011595,-0.0029783,-0.019081,0.24984,0.028518,-0.96042,0.11982,-0.2971,-0.074764,0.023524,0.16291,4.659,0.029654,-5.5483,-1.3447,0.43842,0,0,0,2.9506,2.9038,2.9032,2.9707,-63.844,-14.096,5.0173,-235.01,-23.296,17.771
0.16,-0.014854,-0.0037955,-0.018823,0.27192,0.030542,-0.9545,0.11854,-0.35582,-0.088919,0.028162,0.17823,4.519,0.035657,-6.1981,-1.4867,0.48945,0,0,0,3.0543,2.9898,2.9904,3.0748,-66.084,-14.29,5.1858,-213.03,-15.576,15.934
0.17,-0.018733,-0.0047614,-0.018516,0.29311,0.032366,-0.94831,0.11727,-0.42114,-0.1045,0.033319,0.19307,4.3468,0.042065,-6.8693,-1.6302,0.54207,0,0,0,3.1652,3.0873,3.089,3.186,-68.107,-14.408,5.3362,-191.65,-8.1486,14.142
0.18,-0.023299,-0.0058903,-0.018155,0.31331,0.033974,-0.94192,0.11602,-0.49326,-0.12153,0.039008,0.20735,4.1514,0.048799,-7.5596,-1.7746,0.59611,0,0,0,3.2832,3.1958,3.1984,3.3039,-69.919,-14.454,5.4688,-170.87,-1.0111,12.394
0.19,-0.028622,-0.0071967,-0.017734,0.33242,0.035357,-0.93545,0.11482,-0.57238,-0.13999,0.045245,0.22102,3.9407,0.055783,-8.267,-1.9191,0.65139,0,0,0,3.4078,3.3144,3.3179,3.4283,-71.526,-14.429,5.5842,-150.67,5.8405,10.69
0.2,-0.034771,-0.008695,-0.017248,0.35041,0.036509,-0.92895,0.11368,-0.65865,-0.15991,0.05204,0.23406,3.7217,0.062948,-8.9894,-2.063,0.70774,0,0,0,3.5386,3.4422,3.4466,3.5589,-72.934,-14.338,5.6828,-131.05,12.41,9.0286
0.21,-0.041819,-0.0104,-0.016691,0.36726,0.03743,-0.92252,0.1126,-0.75222,-0.18125,0.059403,0.24647,3.5002,0.070231,-9.725,-2.2056,0.76499,0,0,0,3.6754,3.5785,3.5835,3.6953,-74.149,-14.182,5.7649,-112.01,18.701,7.4102
0.22,-0.04984,-0.012325,-0.016058,0.38299,0.038124,-0.91619,0.1116,-0.85319,-0.20401,0.067342,0.25827,3.2808,0.077582,-10.472,-2.3464,0.82299,0,0,0,3.8177,3.7221,3.7277,3.8371,-75.176,-13.965,5.8311,-93.531,24.717,5.8341
0.23,-0.058908,-0.014485,-0.015343,0.39764,0.038593,-0.91002,0.11068,-0.96168,-0.22817,0.075865,0.26948,3.0669,0.084958,-11.228,-2.4847,0.88156,0,0,0,3.965,3.8722,3.8783,3.984,-76.022,-13.689,5.8817,-75.615,30.463,4.3001
0.24,-0.069099,-0.016893,-0.014539,0.41124,0.038845,-0.90405,0.10986,-1.0778,-0.25369,0.084975,0.28016,2.861,0.092326,-11.992,-2.62,0.94057,0,0,0,4.1169,4.0279,4.0344,4.1354,-76.691,-13.356,5.9173,-58.253,35.941,2.8075
0.25,-0.080489,-0.019563,-0.013641,0.42386,0.038886,-0.89829,0.10912,-1.2015,-0.28056,0.094677,0.29034,2.6647,0.099662,-12.761,-2.7517,0.99986,0,0,0,4.2728,4.1882,4.1951,4.2908,-77.189,-12.971,5.938,-41.439,41.156,1.3562
0.26,-0.093155,-0.022508,-0.012643,0.43555,0.038724,-0.89276,0.10849,-1.333,-0.30871,0.10497,0.30006,2.479,0.10695,-13.535,-2.8792,1.0593,0,0,0,4.4323,4.3524,4.3596,4.4498,-77.521,-12.534,5.9445,-25.168,46.111,-0.054458
0.27,-0.10718,-0.025741,-0.01154,0.44638,0.038365,-0.88748,0.10795,-1.4722,-0.33813,0.11586,0.30938,2.3044,0.11418,-14.311,-3.0022,1.1187,0,0,0,4.5947,4.5197,4.5272,4.6117,-77.694,-12.049,5.9371,-9.4324,50.809,-1.4247
0.28,-0.12263,-0.029275,-0.010324,0.45641,0.037817,-0.88244,0.10752,-1.6192,-0.36874,0.12735,0.31834,2.141,0.12134,-15.088,-3.1201,1.178,0,0,0,4.7595,4.6895,4.6971,4.7761,-77.712,-11.519,5.9161,5.7732,55.256,-2.7551
0.29,-0.13959,-0.03312,-0.0089908,0.4657,0.037086,-0.87764,0.10719,-1.774,-0.40051,0.13942,0.32697,1.9886,0.12843,-15.865,-3.2324,1.237,0,0,0,4.9262,4.8611,4.8688,4.9424,-77.58,-10.945,5.8821,20.455,59.454,-4.0459
0.3,-0.15813,-0.037288,-0.0075337,0.47431,0.036179,-0.87309,0.10696,-1.9365,-0.43337,0.15208,0.33533,1.8467,0.13546,-16.639,-3.3388,1.2956,0,0,0,5.0943,5.0338,5.0417,5.1102,-77.304,-10.331,5.8354,34.62,63.407,-5.2977
0.31,-0.17834,-0.041791,-0.0059471,0.48228,0.035102,-0.86877,0.10683,-2.1068,-0.46726,0.16533,0.34344,1.7149,0.14243,-17.41,-3.4389,1.3536,0,0,0,5.2632,5.2071,5.2152,5.2788,-76.889,-9.6778,5.7763,48.274,67.119,-6.5107
0.32,-0.20029,-0.046637,-0.0042252,0.48967,0.033859,-0.86468,0.10681,-2.2847,-0.50212,0.17916,0.35133,1.5926,0.14934,-18.177,-3.5323,1.4111,0,0,0,5.4325,5.3806,5.3887,5.4478,-76.34,-8.989,5.7053,61.423,70.594,-7.6854
0.33,-0.22406,-0.051836,-0.0023621,0.49653,0.032456,-0.8608,0.10689,-2.4703,-0.53789,0.19355,0.35904,1.4791,0.1562,-18.937,-3.6186,1.4677,0,0,0,5.6017,5.5537,5.5619,5.6167,-75.663,-8.2667,5.6227,74.074,73.835,-8.8222
0.34,-0.24972,-0.057397,-0.00035229,0.5029,0.030896,-0.85713,0.10707,-2.6634,-0.57447,0.20851,0.36659,1.3739,0.16302,-19.69,-3.6975,1.5235,0,0,0,5.7703,5.7259,5.7342,5.7852,-74.861,-7.5131,5.529,86.232,76.846,-9.9215
0.35,-0.27736,-0.063328,0.0018099,0.50881,0.029183,-0.85366,0.10735,-2.8641,-0.61181,0.22402,0.374,1.2763,0.16981,-20.434,-3.7687,1.5783,0,0,0,5.938,5.8969,5.9053,5.9527,-73.94,-6.7305,5.4244,97.904,79.631,-10.984
0.36,-0.30703,-0.069636,0.0041298,0.51431,0.027322,-0.85037,0.10773,-3.0721,-0.64982,0.24007,0.3813,1.1856,0.17658,-21.168,-3.832,1.6319,0,0,0,6.1043,6.0663,6.0747,6.1188,-72.904,-5.9212,5.3094,109.1,82.193,-12.009
0.37,-0.33882,-0.076327,0.006613,0.51942,0.025314,-0.84726,0.10821,-3.2874,-0.68842,0.25665,0.38851,1.1014,0.18334,-21.891,-3.8871,1.6844,0,0,0,6.2688,6.2336,6.2421,6.2832,-71.759,-5.0874,5.1843,119.82,84.537,-12.999
0.38,-0.3728,-0.083406,0.0092646,0.52417,0.023162,-0.84432,0.1088,-3.5099,-0.72753,0.27375,0.39564,1.0231,0.19009,-22.603,-3.9337,1.7356,0,0,0,6.4311,6.3985,6.4072,6.4455,-70.509,-4.2312,5.0496,130.07,86.665,-13.952
0.39,-0.40904,-0.090879,0.01209,0.52859,0.020869,-0.84153,0.10948,-3.7394,-0.76707,0.29136,0.40271,0.95006,0.19685,-23.301,-3.9716,1.7854,0,0,0,6.591,6.5608,6.5695,6.6053,-69.159,-3.3548,4.9054,139.86,88.582,-14.87
0.4,-0.44761,-0.098748,0.015093,0.53271,0.018436,-0.83889,0.11025,-3.9758,-0.80694,0.30945,0.40972,0.88194,0.20362,-23.986,-4.0007,1.8337,0,0,0,6.7481,6.7201,6.7289,6.7624,-67.714,-2.4602,4.7523,149.19,90.292,-15.753
0.41,-0.48858,-0.10702,0.01828,0.53654,0.015866,-0.83638,0.11113,-4.2191,-0.84705,0.32803,0.4167,0.81826,0.21042,-24.655,-4.0208,1.8804,0,0,0,6.9021,6.8761,6.8849,6.9164,-66.177,-1.5496,4.5905,158.08,91.798,-16.601
0.42,-0.53202,-0.11569,0.021655,0.5401,0.01316,-0.834,0.1121,-4.4689,-0.88732,0.34706,0.42364,0.75863,0.21726,-25.309,-4.0317,1.9255,0,0,0,7.0527,7.0285,7.0375,7.0671,-64.554,-0.62494,4.4204,166.53,93.103,-17.415
0.43,-0.57798,-0.12476,0.025223,0.54341,0.010319,-0.83174,0.11316,-4.7252,-0.92765,0.36653,0.43057,0.70267,0.22414,-25.946,-4.0332,1.9688,0,0,0,7.1997,7.1771,7.1862,7.2141,-62.848,0.31181,4.2423,174.53,94.213,-18.196
0.44,-0.62654,-0.13424,0.028987,0.54649,0.0073454,-0.82959,0.11432,-4.9877,-0.96795,0.38643,0.43748,0.65004,0.23108,-26.566,-4.0254,2.0103,0,0,0,7.3427,7.3217,7.3309,7.3572,-61.064,1.2587,4.0566,182.11,95.129,-18.942
0.45,-0.67776,-0.14412,0.032953,0.54935,0.0042398,-0.82755,0.11557,-5.2564,-1.0081,0.40673,0.44439,0.60043,0.23808,-27.167,-4.008,2.0499,0,0,0,7.4817,7.462,7.4713,7.4963,-59.207,2.2138,3.8635,189.27,95.857,-19.656
0.46,-0.73169,-0.1544,0.037123,0.552,0.0010035,-0.8256,0.11691,-5.531,-1.0481,0.42742,0.45129,0.55356,0.24516,-27.749,-3.9811,2.0875,0,0,0,7.6162,7.5979,7.6073,7.631,-57.28,3.1752,3.6635,196.01,96.4,-20.337
0.47,-0.7884,-0.16508,0.041502,0.55446,-0.0023623,-0.82375,0.11835,-5.8113,-1.0877,0.44847,0.4582,0.50916,0.25232,-28.312,-3.9445,2.1231,0,0,0,7.7463,7.7291,7.7387,7.7612,-55.288,4.1412,3.4569,202.33,96.761,-20.987
0.48,-0.84793,-0.17616,0.046094,0.55673,-0.0058566,-0.82198,0.11987,-6.0972,-1.1269,0.46987,0.46512,0.467,0.25957,-28.855,-3.8983,2.1566,0,0,0,7.8716,7.8555,7.8652,7.8867,-53.235,5.1098,3.2439,208.26,96.944,-21.604
0.49,-0.91036,-0.18762,0.050901,0.55882,-0.0094782,-0.82029,0.12147,-6.3884,-1.1657,0.4916,0.47204,0.42685,0.26692,-29.377,-3.8423,2.188,0,0,0,7.992,7.9769,7.9867,8.0074,-51.125,6.0795,3.0249,213.78,96.953,-22.19
0.5,-0.97572,-0.19947,0.055927,0.56074,-0.013226,-0.81868,0.12316,-6.6847,-1.2038,0.51363,0.47898,0.38852,0.27439,-29.877,-3.7767,2.2171,0,0,0,8.1074,8.0931,8.1032,8.123,-48.961,7.0483,2.8002,218.91,96.792,-22.744
0.51,-1.0441,-0.21169,0.061174,0.56249,-0.017099,-0.81713,0.12494,-6.9859,-1.2412,0.53593,0.48594,0.35183,0.28197,-30.356,-3.7014,2.244,0,0,0,8.2176,8.2041,8.2143,8.2334,-46.748,8.0147,2.5701,223.65,96.465,-23.269
0.52,-1.1155,-0.22429,0.066646,0.56409,-0.021096,-0.81565,0.12679,-7.2917,-1.2777,0.5585,0.4929,0.31659,0.28968,-30.812,-3.6164,2.2685,0,0,0,8.3225,8.3097,8.3201,8.3385,-44.489,8.9771,2.3349,228.02,95.974,-23.763
0.53,-1.1899,-0.23725,0.072345,0.56553,-0.025215,-0.81423,0.12873,-7.602,-1.3134,0.58129,0.49989,0.28266,0.29753,-31.246,-3.5218,2.2907,0,0,0,8.4219,8.4098,8.4204,8.4382,-42.189,9.9337,2.095,232.01,95.325,-24.227
0.54,-1.2675,-0.25055,0.078273,0.56683,-0.029455,-0.81286,0.13074,-7.9165,-1.3482,0.6043,0.50689,0.24989,0.30552,-31.656,-3.4177,2.3104,0,0,0,8.5158,8.5043,8.5151,8.5324,-39.85,10.883,1.8505,235.63,94.52,-24.662
0.55,-1.3483,-0.26421,0.084432,0.56798,-0.033816,-0.81155,0.13282,-8.2351,-1.3818,0.62749,0.5139,0.21815,0.31368,-32.042,-3.3042,2.3276,0,0,0,8.604,8.593,8.6041,8.621,-37.477,11.824,1.6018,238.9,93.563,-25.069
0.56,-1.4322,-0.27819,0.090823,0.56899,-0.038294,-0.81029,0.13497,-8.5573,-1.4142,0.65085,0.52093,0.18732,0.322,-32.405,-3.1813,2.3424,0,0,0,8.6865,8.676,8.6873,8.7038,-35.073,12.754,1.3492,241.81,92.459,-25.446
0.57,-1.5194,-0.29249,0.097449,0.56986,-0.042889,-0.80907,0.1372,-8.8831,-1.4454,0.67433,0.52797,0.15728,0.33049,-32.744,-3.0492,2.3546,0,0,0,8.7633,8.7532,8.7648,8.7809,-32.642,13.672,1.093,244.36,91.21,-25.796
0.58,-1.6099,-0.30709,0.10431,0.57059,-0.047599,-0.8079,0.13949,-9.2121,-1.4752,0.69793,0.53502,0.12792,0.33918,-33.058,-2.9079,2.3643,0,0,0,8.8341,8.8245,8.8363,8.8522,-30.187,14.578,0.8334,246.58,89.821,-26.117
0.59,-1.7037,-0.32198,0.11141,0.57119,-0.052423,-0.80677,0.14184,-9.5442,-1.5035,0.72161,0.54208,0.099152,0.34805,-33.348,-2.7577,2.3713,0,0,0,8.8991,8.8898,8.9019,8.9176,-27.712,15.468,0.57073,248.46,88.295,-26.412
0.6,-1.8008,-0.33715,0.11874,0.57165,-0.057357,-0.80568,0.14424,-9.879,-1.5303,0.74535,0.54915,0.070878,0.35714,-33.612,-2.5986,2.3757,0,0,0,8.9582,8.9492,8.9616,8.977,-25.219,16.343,0.30526,250.01,86.636,-26.679
0.61,-1.9013,-0.35258,0.12632,0.57198,-0.0624,-0.80462,0.14671,-10.216,-1.5554,0.76911,0.55622,0.043014,0.36644,-33.852,-2.4309,2.3774,0,0,0,9.0113,9.0025,9.0153,9.0306,-22.712,17.201,0.037236,251.24,84.848,-26.92
0.62,-2.0051,-0.36826,0.13413,0.57218,-0.067549,-0.8036,0.14922,-10.556,-1.5789,0.79289,0.56329,0.015477,0.37597,-34.066,-2.2546,2.3764,0,0,0,9.0585,9.0499,9.063,9.0782,-20.195,18.04,-0.23306,252.15,82.935,-27.135
0.63,-2.1124,-0.38416,0.14217,0.57225,-0.072803,-0.80261,0.15178,-10.898,-1.6005,0.81663,0.57036,-0.011808,0.38574,-34.256,-2.0701,2.3727,0,0,0,9.0996,9.0912,9.1047,9.1198,-17.67,18.859,-0.50538,252.75,80.899,-27.325
0.64,-2.2231,-0.40026,0.15046,0.57219,-0.078159,-0.80166,0.15438,-11.241,-1.6202,0.84033,0.57742,-0.038912,0.39576,-34.42,-1.8775,2.3663,0,0,0,9.1348,9.1265,9.1404,9.1555,-15.141,19.657,-0.77947,253.04,78.746,-27.489
