t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99294,0.11859,0,0,0,0,0,0,0,0,0,0,0,0,2.3019,2.6014,2.6017,2.3016,0,0,0,-606.04,-147.52,106.09
0.01,-2.5006e-07,-6.0593e-08,-0.02,0.0015519,0.00018425,-0.99294,0.11859,-9.9777e-05,-2.415e-05,1.7424e-05,0.0009778,0.61954,8.5297e-07,-0.029811,-0.0072016,0.0052016,0,0,0,2.3103,2.5956,2.5944,2.3116,-5.9133,-1.423,1.0301,-576.71,-137.13,99.962
0.02,-3.9618e-06,-9.5563e-07,-0.019999,0.0060953,0.0007128,-0.99292,0.11859,-0.00078846,-0.00018975,0.00013736,0.005128,1.204,1.3329e-05,-0.1173,-0.028119,0.020401,0,0,0,2.3222,2.5916,2.589,2.3249,-11.536,-2.7435,1.9997,-548.01,-127.02,93.982
0.03,-1.986e-05,-4.7684e-06,-0.019997,0.013448,0.001568,-0.99302,0.11714,-0.0026284,-0.00062887,0.00045677,0.0072211,1.7503,6.5751e-05,-0.25959,-0.06174,0.044999,0,0,0,2.3381,2.5894,2.5862,2.3415,-16.876,-3.9644,2.9102,-519.93,-117.2,88.142
0.04,-6.2151e-05,-1.4853e-05,-0.019989,0.023413,0.0027028,-0.99292,0.11647,-0.0061536,-0.0014636,0.0010667,0.012701,2.2551,0.00020197,-0.45388,-0.10708,0.078413,0,0,0,2.3579,2.5898,2.5858,2.3625,-21.937,-5.0885,3.763,-492.47,-107.66,82.443
0.05,-0.00015024,-3.5736e-05,-0.019974,0.035775,0.0040875,-0.99262,0.11576,-0.01187,-0.0028064,0.0020525,0.019604,2.7147,0.00047786,-0.69743,-0.1632,0.12007,0,0,0,2.3825,2.5931,2.5885,2.3884,-26.727,-6.1185,4.5595,-465.61,-98.389,76.882
0.06,-0.00030846,-7.302e-05,-0.019947,0.050295,0.0056858,-0.99207,0.11503,-0.020257,-0.0047604,0.0034938,0.027834,3.1251,0.00095724,-0.98754,-0.22915,0.16942,0,0,0,2.4127,2.6,2.5949,2.4198,-31.251,-7.0572,5.3011,-439.36,-89.395,71.458
0.07,-0.0005658,-0.00013329,-0.019902,0.066712,0.0074595,-0.99118,0.11426,-0.031767,-0.0074192,0.0054647,0.037276,3.4823,0.0017071,-1.3216,-0.30404,0.22592,0,0,0,2.4491,2.6112,2.6058,2.4576,-35.516,-7.9073,5.9892,-413.71,-80.67,66.171
0.08,-0.00095564,-0.00022404,-0.019835,0.084746,0.0093688,-0.98988,0.11345,-0.046827,-0.010868,0.0080342,0.047791,3.7825,0.0027924,-1.697,-0.38701,0.28903,0,0,0,2.4925,2.6277,2.6223,2.5022,-39.527,-8.6715,6.625,-388.65,-72.214,61.018
0.09,-0.0015155,-0.00035355,-0.019739,0.10409,0.011373,-0.98811,0.11259,-0.065837,-0.015184,0.011266,0.059221,4.0232,0.0042711,-2.1113,-0.4772,0.35825,0,0,0,2.5431,2.6504,2.6451,2.5541,-43.291,-9.3524,7.21,-364.19,-64.021,55.998
