t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99551,0.094704,0,0,0,0,0,0,0,0,0,0,0,0,2.2802,2.6231,2.6235,2.2798,0,0,0,-701.22,-135.34,-26.895
0.01,-2.8915e-07,-5.5517e-08,-0.02,0.001781,0.00016826,-0.9955,0.094704,-0.00011536,-2.212e-05,-4.3711e-06,0.0010447,0.70931,1.0431e-06,-0.034457,-0.0065926,-0.0013003,0,0,0,2.2879,2.6148,2.6135,2.2892,-6.8314,-1.3012,-0.25565,-665.19,-124.95,-24.249
0.02,-4.5783e-06,-8.7443e-07,-0.02,0.0070016,0.00064989,-0.99548,0.094702,-0.00091088,-0.00017351,-3.409e-05,0.0054911,1.3818,1.6344e-05,-0.13544,-0.025683,-0.0050262,0,0,0,2.2949,2.6063,2.6034,2.2979,-13.307,-2.5001,-0.48528,-629.98,-114.87,-21.693
0.03,-2.2937e-05,-4.3574e-06,-0.020001,0.015479,0.0014319,-0.99551,0.093349,-0.0030342,-0.00057407,-0.00011213,0.0077448,2.0179,8.1015e-05,-0.29943,-0.056263,-0.010922,0,0,0,2.3026,2.5974,2.594,2.3064,-19.434,-3.5997,-0.6898,-595.57,-105.09,-19.226
0.04,-7.1734e-05,-1.3554e-05,-0.020003,0.027032,0.0024715,-0.99532,0.092706,-0.007098,-0.0013338,-0.00025894,0.01367,2.6164,0.00025055,-0.52298,-0.097355,-0.018741,0,0,0,2.3116,2.5891,2.5848,2.3167,-25.221,-4.603,-0.87008,-561.97,-95.614,-16.846
0.05,-0.0001733,-3.2566e-05,-0.020006,0.041461,0.0037454,-0.99489,0.092035,-0.013681,-0.0025531,-0.00049257,0.021188,3.1739,0.00059781,-0.80273,-0.14801,-0.028246,0,0,0,2.3236,2.5818,2.5768,2.3302,-30.676,-5.5129,-1.027,-529.15,-86.43,-14.552
0.06,-0.00035558,-6.6451e-05,-0.020013,0.058544,0.0052233,-0.99408,0.091328,-0.023329,-0.0043228,-0.00082872,0.030224,3.6853,0.001209,-1.1354,-0.20731,-0.039206,0,0,0,2.3402,2.5761,2.5706,2.3484,-35.806,-6.3325,-1.1614,-497.13,-77.537,-12.344
0.07,-0.00065181,-0.00012113,-0.020023,0.078024,0.0068726,-0.9928,0.090576,-0.036555,-0.0067252,-0.0012808,0.040673,4.1434,0.0021784,-1.5178,-0.27437,-0.051402,0,0,0,2.3631,2.573,2.5673,2.3729,-40.621,-7.0646,-1.2742,-465.87,-68.932,-10.221
0.08,-0.0011002,-0.00020331,-0.020039,0.099601,0.0086572,-0.99093,0.089772,-0.05384,-0.0098332,-0.0018602,0.052396,4.5404,0.0036015,-1.9468,-0.34832,-0.06462,0,0,0,2.3938,2.5737,2.568,2.4052,-45.126,-7.7121,-1.3661,-435.39,-60.612,-8.1805
0.09,-0.0017437,-0.00032037,-0.020061,0.12293,0.010538,-0.98837,0.088911,-0.075636,-0.013712,-0.002576,0.065217,4.8683,0.0055665,-2.4193,-0.42834,-0.078658,0,0,0,2.4332,2.5796,2.5742,2.4463,-49.331,-8.2778,-1.4381,-405.67,-52.574,-6.2225
