t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99351,0.11376,0,0,0,0,0,0,0,0,0,0,0,0,1.782,3.1213,3.1231,1.7802,0,0,0,-2716.7,-634.39,131.65
0.01,-1.1162e-06,-2.5901e-07,-0.02,0.0068939,0.00078286,-0.99348,0.11376,-0.00044489,-0.00010308,2.1563e-05,0.0058071,2.7397,2.2536e-05,-0.13268,-0.030659,0.0064314,0,0,0,1.8298,3.0771,3.07,1.8371,-26.224,-6.0268,1.2712,-2529,-571.38,122.64
0.02,-1.7608e-05,-4.0601e-06,-0.019999,0.026841,0.0030123,-0.99326,0.11268,-0.0034967,-0.00080368,0.00016951,0.019165,5.2474,0.00034809,-0.51831,-0.11848,0.025128,0,0,0,1.8949,3.027,3.0149,1.9093,-50.598,-11.436,2.4535,-2346.9,-510.83,113.86
0.03,-8.7887e-05,-2.0135e-05,-0.019996,0.058523,0.0064774,-0.992,0.11165,-0.011594,-0.0026429,0.00056209,0.042352,7.4543,0.0016864,-1.1387,-0.2574,0.055213,0,0,0,1.9953,2.9663,2.9509,2.0181,-73.181,-16.251,3.5492,-2170.6,-452.7,105.31
0.04,-0.00027384,-6.2326e-05,-0.019987,0.10009,0.010918,-0.98877,0.11041,-0.026994,-0.0061025,0.0013089,0.073271,9.2378,0.0050275,-1.9762,-0.44161,0.095831,0,0,0,2.1521,2.8936,2.8777,2.1839,-94.028,-20.498,4.5606,-1999.8,-396.97,97.005
0.05,-0.00065908,-0.00014901,-0.019968,0.14892,0.015995,-0.98271,0.10889,-0.051783,-0.011607,0.002511,0.10998,10.453,0.011347,-3.0136,-0.66553,0.14615,0,0,0,2.3747,2.8217,2.8086,2.4153,-113.2,-24.199,5.49,-1834.5,-343.6,88.925
0.06,-0.0013472,-0.00030253,-0.019935,0.20173,0.021311,-0.97334,0.10706,-0.087879,-0.019528,0.0042616,0.14978,11.004,0.021231,-4.2346,-0.92384,0.20537,0,0,0,2.6538,2.7812,2.7733,2.7016,-130.74,-27.377,6.3398,-1674.7,-292.54,81.074
0.07,-0.0024602,-0.00054868,-0.019881,0.25503,0.026458,-0.96085,0.10497,-0.13703,-0.030182,0.0066454,0.18976,10.902,0.034604,-5.6231,-1.2114,0.27269,0,0,0,2.9676,2.8096,2.8082,3.0197,-146.71,-30.057,7.1123,-1520.2,-243.76,73.448
0.08,-0.0041368,-0.00091618,-0.019799,0.3058,0.031098,-0.94602,0.10275,-0.20085,-0.043837,0.0097398,0.22744,10.28,0.050748,-7.1637,-1.5234,0.34736,0,0,0,3.2963,2.9343,2.9394,3.3497,-161.16,-32.26,7.8096,-1371,-197.22,66.045
0.09,-0.0065309,-0.0014362,-0.019683,0.35201,0.035009,-0.92992,0.10053,-0.28077,-0.060715,0.013615,0.2613,9.3327,0.068601,-8.8414,-1.8551,0.42864,0,0,0,3.6332,3.1616,3.172,3.6851,-174.15,-34.009,8.4339,-1227.1,-152.89,58.862
0.1,-0.0098101,-0.0021418,-0.019524,0.39269,0.03809,-0.91359,0.098456,-0.37809,-0.080991,0.018332,0.2908,8.2479,0.087113,-10.642,-2.2021,0.5158,0,0,0,3.9827,3.48,3.4943,4.0314,-185.72,-35.325,8.9875,-1088.3,-110.72,51.897
0.11,-0.014154,-0.0030678,-0.019314,0.42773,0.040335,-0.89782,0.096617,-0.49397,-0.10479,0.023948,0.31612,7.1636,0.10548,-12.551,-2.5602,0.60816,0,0,0,4.3532,3.8706,3.8875,4.3979,-195.93,-36.23,9.4726,-954.58,-70.689,45.147
