t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.9933,0.1156,0,0,0,0,0,0,0,0,0,0,0,0,2.3003,2.603,2.6033,2.3,0,0,0,-613.18,-145.33,106.21
0.01,-2.5299e-07,-5.9694e-08,-0.02,0.0015684,0.00018146,-0.99329,0.1156,-0.00010095,-2.3792e-05,1.7446e-05,0.00094804,0.62586,8.355e-07,-0.030159,-0.0070949,0.0052084,0,0,0,2.3089,2.597,2.5958,2.3101,-5.9821,-1.4019,1.0315,-583.34,-135.11,100.11
0.02,-4.008e-06,-9.4147e-07,-0.019999,0.0061594,0.00070213,-0.99328,0.1156,-0.00079764,-0.00018694,0.00013754,0.004972,1.2162,1.3057e-05,-0.11866,-0.027703,0.020429,0,0,0,2.3209,2.5929,2.5904,2.3236,-11.669,-2.7031,2.0028,-554.15,-125.17,94.159
0.03,-2.0091e-05,-4.6979e-06,-0.019997,0.013588,0.0015445,-0.99336,0.11421,-0.0026588,-0.00061958,0.00045742,0.0070025,1.7678,6.4409e-05,-0.26258,-0.06083,0.045068,0,0,0,2.337,2.5906,2.5875,2.3403,-17.067,-3.9062,2.9152,-525.58,-115.51,88.344
0.04,-6.2869e-05,-1.4634e-05,-0.019989,0.023655,0.0026624,-0.99325,0.11356,-0.0062244,-0.001442,0.0010683,0.012318,2.2773,0.00019785,-0.45906,-0.10551,0.078541,0,0,0,2.357,2.5909,2.587,2.3615,-22.183,-5.0141,3.7701,-497.65,-106.12,82.667
0.05,-0.00015197,-3.5209e-05,-0.019974,0.036141,0.0040267,-0.99294,0.11288,-0.012006,-0.0027652,0.0020558,0.019013,2.7409,0.0004681,-0.70531,-0.1608,0.12028,0,0,0,2.3819,2.5941,2.5896,2.3876,-27.022,-6.0295,4.569,-470.34,-96.999,77.127
0.06,-0.00031199,-7.1945e-05,-0.019947,0.050803,0.0056014,-0.99237,0.11218,-0.020487,-0.0046905,0.0034997,0.026996,3.1545,0.00093763,-0.9986,-0.2258,0.16974,0,0,0,2.4125,2.6009,2.596,2.4194,-31.592,-6.955,5.3131,-443.65,-88.149,71.724
0.07,-0.00057224,-0.00013133,-0.019902,0.067376,0.0073489,-0.99146,0.11144,-0.032126,-0.0073105,0.0054745,0.036153,3.5139,0.001672,-1.3363,-0.29961,0.22637,0,0,0,2.4494,2.6121,2.6069,2.4576,-35.897,-7.7933,6.0039,-417.57,-79.565,66.455
0.08,-0.00096647,-0.00022075,-0.019835,0.085574,0.0092298,-0.99013,0.11065,-0.047352,-0.010709,0.0080492,0.04635,3.8155,0.0027346,-1.7157,-0.38138,0.28964,0,0,0,2.4933,2.6286,2.6234,2.5027,-39.945,-8.5472,6.6427,-392.09,-71.244,61.32
0.09,-0.0015326,-0.00034837,-0.019739,0.10509,0.011204,-0.98832,0.10982,-0.06657,-0.014962,0.011288,0.057432,4.0565,0.0041819,-2.1343,-0.47028,0.35905,0,0,0,2.5446,2.6515,2.6465,2.5553,-43.741,-9.2191,7.2307,-367.22,-63.181,56.317
0.1,-0.0023125,-0.00052306,-0.019607,0.12561,0.01323,-0.98599,0.10895,-0.090161,-0.020136,0.015249,0.06923,4.2356,0.0060584,-2.5897,-0.5655,0.43409,0,0,0,2.6038,2.6818,2.6771,2.6156,-47.291,-9.8116,7.7694,-342.94,-55.375,51.445
0.11,-0.0033516,-0.00075436,-0.019431,0.14681,0.015268,-0.98313,0.10803,-0.11848,-0.02629,0.019987,0.081565,4.3532,0.0083933,-3.0794,-0.66626,0.51428,0,0,0,2.6707,2.7204,2.7163,2.6836,-50.602,-10.327,8.2601,-319.25,-47.823,46.702
0.12,-0.0046989,-0.0010523,-0.019204,0.16837,0.017281,-0.97974,0.10708,-0.15185,-0.033477,0.02555,0.094254,4.4117,0.011198,-3.6009,-0.7718,0.59914,0,0,0,2.7456,2.7684,2.7649,2.7593,-53.678,-10.769,8.7039,-296.15,-40.521,42.088
0.13,-0.0064065,-0.0014275,-0.018917,0.19002,0.019233,-0.97584,0.10609,-0.1906,-0.04174,0.031984,0.10712,4.4153,0.014468,-4.1522,-0.8814,0.68821,0,0,0,2.8281,2.8263,2.8236,2.8427,-56.527,-11.139,9.1022,-273.62,-33.467,37.6
