t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99405,0.10891,0,0,0,0,0,0,0,0,0,0,0,0,2.29,2.6133,2.6136,2.2897,0,0,0,-657.22,-146.42,55.941
0.01,-2.7108e-07,-6.012e-08,-0.02,0.0016768,0.00018261,-0.99405,0.10891,-0.00010816,-2.396e-05,9.2011e-06,0.00097819,0.66864,9.2098e-07,-0.03231,-0.0071438,0.0027482,0,0,0,2.2984,2.6063,2.605,2.2997,-6.4073,-1.4112,0.54477,-624.36,-135.86,53.023
0.02,-4.2935e-06,-9.4784e-07,-0.02,0.006587,0.00070648,-0.99403,0.1089,-0.00085434,-0.00018817,7.2639e-05,0.0051347,1.3003,1.4408e-05,-0.12706,-0.027876,0.010799,0,0,0,2.3088,2.6003,2.5976,2.3115,-12.49,-2.7182,1.0607,-592.22,-125.6,50.166
0.03,-2.1516e-05,-4.7278e-06,-0.019998,0.014542,0.001555,-0.99409,0.10756,-0.0028468,-0.00062335,0.00024191,0.0072373,1.8931,7.1207e-05,-0.28104,-0.061171,0.023867,0,0,0,2.322,2.5952,2.592,2.3255,-18.254,-3.9241,1.5483,-560.79,-115.63,47.369
0.04,-6.731e-05,-1.4721e-05,-0.019994,0.025342,0.0026828,-0.99394,0.10693,-0.0066621,-0.0014501,0.00056577,0.012749,2.4441,0.00021929,-0.49111,-0.10603,0.041673,0,0,0,2.3382,2.592,2.588,2.3429,-23.708,-5.0317,2.0082,-530.07,-105.95,44.632
0.05,-0.00016266,-3.5406e-05,-0.019986,0.038768,0.0040618,-0.99357,0.10627,-0.012846,-0.0027793,0.0010902,0.019711,2.9497,0.00052049,-0.75418,-0.16149,0.063942,0,0,0,2.3587,2.5909,2.5863,2.3647,-28.858,-6.044,2.4411,-500.06,-96.552,41.953
0.06,-0.00033384,-7.232e-05,-0.019972,0.054579,0.0056573,-0.9929,0.10557,-0.021913,-0.0047121,0.0018586,0.028037,3.4049,0.0010463,-1.0673,-0.2266,0.090407,0,0,0,2.3846,2.5927,2.5876,2.392,-33.711,-6.9637,2.8475,-470.74,-87.439,39.332
0.07,-0.00061214,-0.00013197,-0.019948,0.072503,0.0074324,-0.99182,0.10483,-0.034348,-0.0073405,0.0029115,0.037616,3.8045,0.0018728,-1.4274,-0.30046,0.12081,0,0,0,2.4169,2.5984,2.593,2.4257,-38.275,-7.7937,3.228,-442.11,-78.606,36.77
0.08,-0.0010336,-0.00022173,-0.019912,0.092238,0.0093476,-0.99024,0.10405,-0.050609,-0.010748,0.004287,0.048313,4.1431,0.0030749,-1.8318,-0.38219,0.15488,0,0,0,2.4566,2.6088,2.6035,2.4668,-42.556,-8.5368,3.5831,-414.17,-70.05,34.264
0.09,-0.0016385,-0.00034976,-0.019861,0.11345,0.011362,-0.9881,0.10321,-0.071123,-0.015008,0.0060205,0.059962,4.4161,0.0047198,-2.2776,-0.47092,0.19238,0,0,0,2.5044,2.6253,2.6203,2.5159,-46.561,-9.1956,3.9134,-386.91,-61.767,31.816
0.1,-0.0024715,-0.00052494,-0.019791,0.1358,0.013432,-0.98535,0.10232,-0.096291,-0.020186,0.0081453,0.072379,4.6204,0.0068614,-2.7621,-0.56583,0.23307,0,0,0,2.5607,2.6493,2.6446,2.5735,-50.296,-9.773,4.2196,-360.31,-53.753,29.424
0.11,-0.0035811,-0.00075675,-0.019697,0.15892,0.015515,-0.98195,0.10138,-0.12649,-0.026342,0.010692,0.085363,4.7551,0.009535,-3.2827,-0.66611,0.2767,0,0,0,2.6257,2.6818,2.6778,2.6397,-53.769,-10.272,4.5021,-334.38,-46.007,27.087
0.12,-0.0050192,-0.0010552,-0.019575,0.18245,0.017572,-0.97792,0.10039,-0.16206,-0.033524,0.013688,0.098708,4.8216,0.012754,-3.8367,-0.77101,0.32303,0,0,0,2.6994,2.7243,2.7211,2.7145,-56.986,-10.694,4.7615,-309.1,-38.525,24.806
0.13,-0.0068412,-0.0014308,-0.019421,0.20604,0.019562,-0.97329,0.099368,-0.20332,-0.041775,0.017161,0.11221,4.824,0.01651,-4.4216,-0.87975,0.37185,0,0,0,2.7816,2.7776,2.7753,2.7976,-59.953,-11.043,4.9984,-284.48,-31.303,22.58
0.14,-0.0091056,-0.0018944,-0.01923,0.22939,0.021453,-0.96812,0.098319,-0.25058,-0.05113,0.021133,0.1257,4.7687,0.020773,-5.0349,-0.99163,0.42293,0,0,0,2.8721,2.8425,2.8412,2.8887,-62.678,-11.321,5.2133,-260.5,-24.339,20.408
0.15,-0.011874,-0.0024572,-0.018997,0.25223,0.023216,-0.96249,0.097257,-0.30411,-0.061616,0.025626,0.13899,4.6637,0.025497,-5.6743,-1.1059,0.47605,0,0,0,2.9705,2.9193,2.919,2.9876,-65.165,-11.531,5.4067,-237.16,-17.629,18.29
