t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99533,0.096555,0,0,0,0,0,0,0,0,0,0,0,0,2.2869,2.6164,2.6168,2.2865,0,0,0,-673.37,-132.59,-9.98
0.01,-2.7772e-07,-5.4394e-08,-0.02,0.0017116,0.00016487,-0.99533,0.096555,-0.0001108,-2.1673e-05,-1.6011e-06,0.0010447,0.68183,1.0026e-06,-0.033099,-0.0064595,-0.00047414,0,0,0,2.2944,2.6087,2.6074,2.2957,-6.5632,-1.275,-0.092366,-639.39,-122.46,-8.5028
0.02,-4.3982e-06,-8.568e-07,-0.02,0.0067292,0.0006366,-0.9953,0.096553,-0.00087512,-0.00017002,-1.2318e-05,0.0054896,1.3282,1.5703e-05,-0.13014,-0.025168,-0.001799,0,0,0,2.3018,2.601,2.5982,2.3047,-12.79,-2.4503,-0.17025,-606.16,-112.63,-7.083
0.03,-2.2038e-05,-4.2699e-06,-0.02,0.014876,0.0014024,-0.99535,0.095147,-0.0029157,-0.00056258,-3.9944e-05,0.0077385,1.9391,7.7789e-05,-0.28781,-0.055142,-0.0038327,0,0,0,2.3102,2.5932,2.5898,2.3139,-18.689,-3.5286,-0.23422,-573.68,-103.09,-5.7199
0.04,-6.8937e-05,-1.3283e-05,-0.020001,0.025974,0.0024196,-0.99518,0.094482,-0.0068226,-0.0013072,-9.088e-05,0.013651,2.5132,0.00024037,-0.50285,-0.095428,-0.0064388,0,0,0,2.3201,2.5863,2.582,2.3252,-24.266,-4.5131,-0.28483,-541.94,-93.846,-4.4128
0.05,-0.00016657,-3.1917e-05,-0.020002,0.039829,0.0036651,-0.99479,0.09379,-0.013153,-0.0025024,-0.00017019,0.021145,3.0472,0.00057295,-0.77209,-0.1451,-0.0094867,0,0,0,2.3331,2.5805,2.5754,2.3396,-29.53,-5.4065,-0.32266,-510.94,-84.883,-3.161
0.06,-0.00034184,-6.5132e-05,-0.020004,0.056226,0.0051088,-0.99406,0.093064,-0.022435,-0.0042375,-0.00028167,0.030143,3.5364,0.0011575,-1.0924,-0.20326,-0.012851,0,0,0,2.3506,2.5764,2.5709,2.3586,-34.488,-6.2117,-0.34823,-480.66,-76.205,-1.9636
0.07,-0.00062676,-0.00011874,-0.020008,0.074916,0.0067186,-0.99289,0.092297,-0.035162,-0.0065931,-0.00042787,0.040541,3.9746,0.0020835,-1.4608,-0.26905,-0.016412,0,0,0,2.374,2.5752,2.5694,2.3837,-39.146,-6.9315,-0.36211,-451.11,-67.806,-0.82011
0.08,-0.0010581,-0.0001993,-0.020013,0.095616,0.0084595,-0.99117,0.091481,-0.051802,-0.0096411,-0.00061019,0.052202,4.3548,0.0034414,-1.8744,-0.34162,-0.020056,0,0,0,2.4047,2.5777,2.5719,2.416,-43.512,-7.5688,-0.36481,-422.27,-59.683,0.27031
0.09,-0.0016773,-0.00031408,-0.02002,0.118,0.010294,-0.98882,0.090613,-0.072791,-0.013445,-0.0008289,0.064955,4.6702,0.0053152,-2.3301,-0.42016,-0.023673,0,0,0,2.4437,2.5853,2.5798,2.4566,-47.594,-8.1261,-0.35688,-394.13,-51.834,1.3084
0.1,-0.0025298,-0.00047092,-0.02003,0.14172,0.012183,-0.98576,0.089691,-0.098536,-0.018062,-0.0010832,0.078597,4.915,0.007775,-2.8253,-0.50388,-0.02716,0,0,0,2.4917,2.5995,2.5945,2.5061,-51.397,-8.6063,-0.33882,-366.7,-44.255,2.2948
0.11,-0.0036652,-0.00067818,-0.020042,0.16638,0.014085,-0.98196,0.088716,-0.12942,-0.023538,-0.0013713,0.092901,5.0857,0.010869,-3.3572,-0.59204,-0.030417,0,0,0,2.5491,2.6218,2.6176,2.565,-54.93,-9.0121,-0.31115,-339.96,-36.943,3.2302
0.12,-0.0051365,-0.00094468,-0.020057,0.19159,0.01596,-0.97742,0.087694,-0.16579,-0.029915,-0.0016905,0.10763,5.1812,0.01462,-3.923,-0.68389,-0.033353,0,0,0,2.616,2.6538,2.6504,2.6332,-58.199,-9.3461,-0.27438,-313.91,-29.894,4.1155
0.13,-0.0070004,-0.0012796,-0.020076,0.21697,0.017771,-0.97216,0.086632,-0.20798,-0.037226,-0.002037,0.12253,5.2039,0.019022,-4.5203,-0.77873,-0.035876,0,0,0,2.6922,2.6967,2.6944,2.7105,-61.21,-9.6108,-0.22901,-288.53,-23.105,4.9513
0.14,-0.0093166,-0.0016924,-0.020098,0.24216,0.019482,-0.96626,0.085543,-0.2563,-0.045497,-0.0024064,0.13738,5.1593,0.02404,-5.1464,-0.87588,-0.037906,0,0,0,2.7774,2.7516,2.7505,2.7965,-63.971,-9.809,-0.17552,-263.83,-16.573,5.7383
0.15,-0.012148,-0.0021928,-0.020124,0.26683,0.021063,-0.95981,0.08444,-0.311,-0.054749,-0.0027932,0.15198,5.0552,0.029616,-5.7989,-0.9747,-0.039361,0,0,0,2.8711,2.8193,2.8194,2.8909,-66.489,-9.9431,-0.1144,-239.79,-10.295,6.4773
0.16,-0.015559,-0.0027907,-0.020154,0.29071,0.02249,-0.95291,0.083337,-0.37235,-0.064994,-0.0031914,0.16617,4.9014,0.035675,-6.4754,-1.0745,-0.04017,0,0,0,2.9731,2.8999,2.9011,2.9932,-68.77,-10.016,-0.046129,-216.42,-4.2668,7.169
0.17,-0.019618,-0.003496,-0.020188,0.31359,0.023746,-0.94569,0.082248,-0.44058,-0.076241,-0.0035942,0.17981,4.7087,0.042131,-7.1735,-1.1748,-0.040262,0,0,0,3.0828,2.9933,2.9955,3.103,-70.82,-10.029,0.028825,-193.69,1.5142,7.814
0.18,-0.024394,-0.0043188,-0.020226,0.33533,0.024816,-0.93827,0.081189,-0.51589,-0.08849,-0.0039941,0.19282,4.4874,0.048898,-7.891,-1.2749,-0.039572,0,0,0,3.1999,3.0989,3.1021,3.2201,-72.646,-9.9863,0.11,-171.61,7.0515,8.4132
