t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99424,0.10716,0,0,0,0,0,0,0,0,0,0,0,0,2.2854,2.6179,2.6183,2.285,0,0,0,-676.59,-148.38,-22.662
0.01,-2.7902e-07,-6.085e-08,-0.02,0.0017253,0.00018457,-0.99424,0.10716,-0.00011132,-2.4243e-05,-3.6696e-06,0.0012229,0.68798,1.1843e-06,-0.033252,-0.0072244,-0.0010902,0,0,0,2.2927,2.61,2.6085,2.2943,-6.5929,-1.4256,-0.2138,-642.13,-136.79,-20.113
0.02,-4.4184e-06,-9.5814e-07,-0.02,0.0067828,0.00071206,-0.99422,0.10715,-0.00087909,-0.00019009,-2.8511e-05,0.0064258,1.3401,1.8547e-05,-0.13072,-0.02813,-0.0041925,0,0,0,2.2996,2.602,2.5987,2.303,-12.845,-2.7369,-0.40257,-608.46,-125.54,-17.657
0.03,-2.2137e-05,-4.7731e-06,-0.020001,0.014995,0.0015685,-0.9943,0.10552,-0.0029286,-0.00062871,-9.3408e-05,0.0090583,1.9569,9.1889e-05,-0.28905,-0.061593,-0.0090613,0,0,0,2.3072,2.5936,2.5896,2.3116,-18.765,-3.9375,-0.56725,-575.55,-114.64,-15.294
0.04,-6.924e-05,-1.4843e-05,-0.020002,0.026186,0.002705,-0.99415,0.10475,-0.0068519,-0.0014602,-0.00021484,0.015981,2.5371,0.00028402,-0.50493,-0.10652,-0.01546,0,0,0,2.316,2.5859,2.5809,2.3219,-24.359,-5.0308,-0.70875,-543.42,-104.08,-13.021
0.05,-0.00016729,-3.5652e-05,-0.020005,0.040163,0.0040958,-0.99376,0.10395,-0.013208,-0.0027939,-0.00040695,0.024759,3.0776,0.00067729,-0.77517,-0.16186,-0.023162,0,0,0,2.3276,2.5792,2.5733,2.3353,-29.636,-6.0201,-0.82797,-512.04,-93.849,-10.839
0.06,-0.00034328,-7.2725e-05,-0.020011,0.056714,0.0057073,-0.99304,0.10311,-0.022526,-0.0047287,-0.00068169,0.035303,3.5736,0.0013691,-1.0966,-0.22659,-0.031948,0,0,0,2.3437,2.5741,2.5676,2.3532,-34.602,-6.9089,-0.92582,-481.42,-83.955,-8.745
0.07,-0.00062934,-0.00013253,-0.020019,0.075591,0.0075033,-0.99186,0.10222,-0.035301,-0.0073537,-0.0010488,0.047492,4.0188,0.0024658,-1.4662,-0.29972,-0.04161,0,0,0,2.3657,2.5715,2.5647,2.3771,-39.266,-7.7003,-1.0032,-451.53,-74.39,-6.7388
0.08,-0.0010624,-0.00022236,-0.020032,0.09651,0.0094444,-0.99012,0.10128,-0.052,-0.010748,-0.0015161,0.061167,4.4058,0.0040754,-1.881,-0.38028,-0.051946,0,0,0,2.395,2.5726,2.5658,2.4082,-43.635,-8.3978,-1.0609,-422.39,-65.149,-4.8191
0.09,-0.0016839,-0.00035028,-0.02005,0.11915,0.011489,-0.98773,0.10028,-0.073061,-0.014981,-0.0020894,0.076125,4.7275,0.0062986,-2.338,-0.46737,-0.062765,0,0,0,2.4327,2.5786,2.5722,2.4478,-47.717,-9.0044,-1.0998,-393.98,-56.229,-2.9846
0.1,-0.0025395,-0.00052499,-0.020074,0.14314,0.013591,-0.98462,0.099215,-0.098891,-0.020114,-0.0027724,0.092128,4.9776,0.0092189,-2.8344,-0.56008,-0.073883,0,0,0,2.4795,2.5911,2.5853,2.4965,-51.517,-9.5234,-1.1209,-366.28,-47.625,-1.2342
0.11,-0.0036789,-0.00075574,-0.020106,0.1681,0.015705,-0.98075,0.098092,-0.12987,-0.026199,-0.0035674,0.1089,5.152,0.012895,-3.3674,-0.65756,-0.085125,0,0,0,2.5359,2.6117,2.6068,2.5547,-55.045,-9.9579,-1.1248,-339.3,-39.333,0.43325
0.12,-0.0051553,-0.0010523,-0.020146,0.19362,0.017786,-0.97612,0.096915,-0.16635,-0.033278,-0.0044748,0.12616,5.2495,0.017352,-3.9344,-0.75897,-0.096325,0,0,0,2.602,2.642,2.6382,2.6223,-58.306,-10.311,-1.1125,-313.03,-31.35,2.019
0.13,-0.0070253,-0.0014247,-0.020196,0.21931,0.01979,-0.97075,0.095694,-0.20866,-0.041388,-0.0054933,0.14362,5.2722,0.022583,-4.5326,-0.86352,-0.10732,0,0,0,2.6776,2.6833,2.6808,2.6991,-61.308,-10.586,-1.0847,-287.46,-23.672,3.5242
0.14,-0.0093489,-0.0018836,-0.020256,0.24479,0.021678,-0.96472,0.094443,-0.2571,-0.050556,-0.0066201,0.16099,5.2256,0.028544,-5.1597,-0.97043,-0.11797,0,0,0,2.7622,2.7369,2.7357,2.7848,-64.057,-10.786,-1.0422,-262.59,-16.294,4.9499
0.15,-0.012189,-0.0024395,-0.020328,0.26975,0.023415,-0.95813,0.093176,-0.31194,-0.060802,-0.007851,0.17805,5.1179,0.035165,-5.813,-1.079,-0.12812,0,0,0,2.8556,2.8033,2.8036,2.8789,-66.562,-10.913,-0.98594,-238.4,-9.2132,6.2975
0.16,-0.01561,-0.0031033,-0.020413,0.29389,0.024974,-0.95108,0.091912,-0.37344,-0.072139,-0.0091804,0.19459,4.959,0.042355,-6.4901,-1.1885,-0.13764,0,0,0,2.9572,2.883,2.8845,2.9809,-68.828,-10.971,-0.91655,-214.88,-2.4248,7.568
0.17,-0.01968,-0.0038859,-0.020512,0.31701,0.026334,-0.94371,0.090666,-0.44182,-0.084572,-0.010601,0.21046,4.7601,0.050008,-7.1887,-1.2982,-0.14641,0,0,0,3.0667,2.9756,2.9784,3.0906,-70.862,-10.962,-0.83483,-192.04,4.0749,8.7626
0.18,-0.02447,-0.0047984,-0.020626,0.33895,0.027482,-0.93614,0.089454,-0.51728,-0.098101,-0.012106,0.22556,4.532,0.058018,-7.9066,-1.4075,-0.1543,0,0,0,3.1837,3.0807,3.0846,3.2074,-72.671,-10.89,-0.74155,-169.86,10.29,9.8825
0.19,-0.03005,-0.0058516,-0.020755,0.3596,0.028408,-0.92848,0.088292,-0.6,-0.11272,-0.013684,0.23984,4.285,0.066282,-8.6414,-1.5158,-0.16121,0,0,0,3.3077,3.1974,3.2023,3.3312,-74.261,-10.757,-0.63743,-148.34,16.224,10.929
0.2,-0.036495,-0.0070563,-0.0209,0.37893,0.02911,-0.92085,0.087191,-0.69016,-0.12841,-0.015326,0.25328,4.0279,0.074706,-9.3911,-1.6224,-0.16702,0,0,0,3.4386,3.3246,3.3305,3.4616,-75.639,-10.567,-0.52321,-127.47,21.881,11.903
0.21,-0.043879,-0.0084233,-0.021061,0.39692,0.029589,-0.91332,0.086162,-0.78787,-0.14516,-0.017021,0.26588,3.7681,0.08321,-10.154,-1.7269,-0.17164,0,0,0,3.5758,3.4614,3.468,3.5982,-76.812,-10.321,-0.39961,-107.23,27.266,12.805
0.22,-0.052278,-0.009963,-0.02124,0.41359,0.029847,-0.90597,0.085214,-0.89326,-0.16294,-0.018755,0.27769,3.5113,0.091726,-10.927,-1.8287,-0.17498,0,0,0,3.719,3.6066,3.6137,3.7407,-77.786,-10.022,-0.26734,-87.637,32.382,13.638
0.23,-0.06177,-0.011685,-0.021436,0.429,0.029891,-0.89886,0.084353,-1.0064,-0.18172,-0.020516,0.28875,3.2619,0.1002,-11.709,-1.9272,-0.17696,0,0,0,3.8677,3.7589,3.7666,3.8887,-78.567,-9.6739,-0.12708,-68.667,37.232,14.402
0.24,-0.072433,-0.013601,-0.02165,0.4432,0.029728,-0.89202,0.083584,-1.1275,-0.20147,-0.022289,0.2991,3.0228,0.1086,-12.497,-2.022,-0.1775,0,0,0,4.0213,3.9174,3.9254,4.0416,-79.162,-9.2785,0.020478,-50.317,41.822,15.098
0.25,-0.084345,-0.015718,-0.021882,0.45626,0.029365,-0.88549,0.082909,-1.2564,-0.22215,-0.024061,0.30883,2.7959,0.11689,-13.291,-2.1126,-0.17653,0,0,0,4.1794,4.081,4.0894,4.199,-79.576,-8.8384,0.17466,-32.579,46.155,15.728
0.26,-0.097587,-0.018047,-0.022132,0.46827,0.028811,-0.87927,0.082331,-1.3933,-0.24371,-0.025814,0.31797,2.5824,0.12506,-14.088,-2.1986,-0.17399,0,0,0,4.3412,4.2488,4.2574,4.3601,-79.815,-8.3562,0.33482,-15.446,50.235,16.292
0.27,-0.11224,-0.020595,-0.022398,0.47929,0.028072,-0.87338,0.081851,-1.5382,-0.26611,-0.027535,0.3266,2.3826,0.13309,-14.887,-2.2796,-0.16981,0,0,0,4.5063,4.42,4.4288,4.5246,-79.887,-7.8345,0.50029,1.0884,54.066,16.792
0.28,-0.12838,-0.023371,-0.022682,0.48941,0.027157,-0.86781,0.08147,-1.691,-0.28928,-0.029205,0.33477,2.1965,0.14098,-15.686,-2.3552,-0.16396,0,0,0,4.6741,4.5938,4.6028,4.6917,-79.795,-7.2757,0.67045,17.033,57.652,17.229
0.29,-0.14608,-0.026383,-0.022982,0.4987,0.026074,-0.86257,0.081186,-1.8519,-0.31319,-0.030808,0.34252,2.0238,0.14873,-16.482,-2.425,-0.15639,0,0,0,4.8439,4.7695,4.7785,4.861,-79.548,-6.6823,0.84467,32.394,60.997,17.604
0.3,-0.16544,-0.029637,-0.023298,0.50722,0.024827,-0.85764,0.080999,-2.0207,-0.33776,-0.032327,0.3499,1.8637,0.15635,-17.276,-2.4887,-0.14706,0,0,0,5.0153,4.9464,4.9555,5.0318,-79.15,-6.0566,1.0223,47.179,64.104,17.919
0.31,-0.18652,-0.03314,-0.023628,0.51505,0.023425,-0.85301,0.080908,-2.1974,-0.36294,-0.033744,0.35695,1.7157,0.16384,-18.065,-2.5461,-0.13593,0,0,0,5.1875,5.1239,5.1331,5.2036,-78.606,-5.4009,1.2029,61.396,66.979,18.174
0.32,-0.20941,-0.036898,-0.023973,0.52223,0.021872,-0.84868,0.080912,-2.3819,-0.38866,-0.03504,0.36372,1.5789,0.17121,-18.848,-2.5967,-0.12299,0,0,0,5.3602,5.3015,5.3107,5.3759,-77.923,-4.7177,1.3856,75.051,69.624,18.371
0.33,-0.23419,-0.040915,-0.024329,0.52882,0.020174,-0.84462,0.081009,-2.5743,-0.41485,-0.036197,0.37022,1.4525,0.17847,-19.623,-2.6403,-0.10822,0,0,0,5.5328,5.4786,5.4878,5.5481,-77.107,-4.0092,1.5701,88.153,72.045,18.51
0.34,-0.26093,-0.045196,-0.024696,0.53487,0.018335,-0.84082,0.081197,-2.7744,-0.44145,-0.037198,0.3765,1.3357,0.18564,-20.389,-2.6768,-0.091589,0,0,0,5.7049,5.6548,5.6641,5.7198,-76.162,-3.2776,1.7556,100.71,74.244,18.594
