t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.99342,0.11454,0,0,0,0,0,0,0,0,0,0,0,0,2.3579,2.5454,2.5456,2.3577,0,0,0,-380.18,-89.199,-15.708
0.01,-1.5698e-07,-3.6689e-08,-0.02,0.00097398,0.00011173,-0.99342,0.11454,-6.2652e-05,-1.4628e-05,-2.5616e-06,0.00051158,0.38915,2.7978e-07,-0.018725,-0.0043647,-0.00076288,0,0,0,2.3615,2.5414,2.5408,2.3622,-3.7167,-0.86347,-0.15034,-363.21,-83.519,-14.367
0.02,-2.4891e-06,-5.7945e-07,-0.02,0.0038375,0.00043451,-0.99341,0.11454,-0.00049557,-0.00011514,-2.0047e-05,0.0026948,0.7606,4.3973e-06,-0.073773,-0.017082,-0.0029628,0,0,0,2.3648,2.5372,2.5358,2.3662,-7.2652,-1.6708,-0.28748,-346.57,-77.978,-13.067
0.03,-1.2487e-05,-2.8954e-06,-0.020001,0.0085035,0.00096045,-0.99352,0.11334,-0.0016536,-0.00038227,-6.6174e-05,0.0038022,1.1148,2.1868e-05,-0.16348,-0.037599,-0.0064698,0,0,0,2.368,2.5327,2.531,2.3698,-10.649,-2.4235,-0.4118,-330.26,-72.577,-11.805
0.04,-3.9109e-05,-9.0318e-06,-0.020002,0.014888,0.0016673,-0.99351,0.11278,-0.0038753,-0.00089131,-0.00015338,0.0067231,1.4518,6.7885e-05,-0.28622,-0.065375,-0.011157,0,0,0,2.3713,2.5285,2.5263,2.3738,-13.871,-3.1228,-0.52371,-314.28,-67.314,-10.582
0.05,-9.4614e-05,-2.1762e-05,-0.020004,0.022904,0.0025427,-0.99342,0.11221,-0.0074827,-0.0017122,-0.00029285,0.010446,1.7714,0.00016273,-0.44038,-0.099883,-0.016904,0,0,0,2.3753,2.5246,2.5219,2.3784,-16.936,-3.7702,-0.62357,-298.62,-62.187,-9.3969
0.06,-0.00019441,-4.4532e-05,-0.020008,0.032464,0.0035719,-0.99321,0.11162,-0.012782,-0.0029097,-0.00049459,0.014951,2.0729,0.00033114,-0.62441,-0.14061,-0.02359,0,0,0,2.3803,2.5213,2.5183,2.384,-19.845,-4.367,-0.71177,-283.29,-57.195,-8.2498
0.07,-0.00035688,-8.1411e-05,-0.020014,0.043473,0.0047394,-0.99286,0.111,-0.020065,-0.0045435,-0.0007674,0.020215,2.3551,0.00060149,-0.83678,-0.18706,-0.031102,0,0,0,2.3869,2.5191,2.5157,2.3914,-22.603,-4.9146,-0.78869,-268.28,-52.337,-7.1402
0.08,-0.00060325,-0.00013704,-0.020023,0.055828,0.0060293,-0.9923,0.11037,-0.029607,-0.0066683,-0.001119,0.026208,2.6165,0.0010049,-1.076,-0.23874,-0.039327,0,0,0,2.3957,2.5182,2.5146,2.4009,-25.212,-5.4142,-0.8547,-253.59,-47.612,-6.0676
0.09,-0.00095743,-0.00021658,-0.020037,0.06942,0.0074249,-0.99151,0.1097,-0.041669,-0.0093342,-0.001556,0.032892,2.8555,0.0015742,-1.3405,-0.29519,-0.04816,0,0,0,2.4071,2.519,2.5153,2.4131,-27.675,-5.8673,-0.91016,-239.21,-43.017,-5.0316
0.1,-0.0014459,-0.00032568,-0.020055,0.084126,0.0089086,-0.99043,0.109,-0.056498,-0.012586,-0.0020839,0.040221,3.0702,0.0023425,-1.629,-0.35594,-0.057497,0,0,0,2.4217,2.5221,2.5183,2.4285,-29.997,-6.275,-0.95545,-225.15,-38.553,-4.0318
0.11,-0.0020974,-0.0004704,-0.020079,0.099816,0.010462,-0.98904,0.10827,-0.074325,-0.016466,-0.0027073,0.04814,3.2586,0.0033416,-1.94,-0.42054,-0.067237,0,0,0,2.4399,2.528,2.5242,2.4475,-32.179,-6.6387,-0.99092,-211.39,-34.217,-3.0678
0.12,-0.0029431,-0.00065721,-0.020109,0.11635,0.012066,-0.9873,0.10751,-0.095368,-0.021009,-0.0034296,0.056586,3.4192,0.0046009,-2.2721,-0.48857,-0.077283,0,0,0,2.4622,2.537,2.5334,2.4705,-34.226,-6.9598,-1.0169,-197.94,-30.008,-2.1392
0.13,-0.0040161,-0.00089289,-0.020147,0.13357,0.013701,-0.98518,0.1067,-0.11983,-0.026247,-0.0042536,0.065486,3.5504,0.0061456,-2.6241,-0.5596,-0.087545,0,0,0,2.4887,2.5497,2.5463,2.4979,-36.139,-7.2393,-1.0338,-184.8,-25.925,-1.2455
