t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.000000,-2.631362,-0.156567,-9.449683,0.004673,-0.000571,0.005582
0.006930,-2.631694,-0.156294,-9.451495,0.004387,-0.000421,0.005488
0.013830,-2.631391,-0.156923,-9.452213,0.004206,-0.000394,0.005387
0.027848,-2.631894,-0.156840,-9.453501,0.003649,-0.000326,0.005181
0.034682,-2.631320,-0.157158,-9.453750,0.003415,-0.000317,0.005074
0.041689,-2.627450,-0.163683,-9.448135,0.004387,-0.000992,0.004954
0.048585,-2.630146,-0.158583,-9.451981,0.004066,-0.000879,0.004892
0.062499,-2.631841,-0.149171,-9.454936,0.002054,-0.000149,0.004617
0.069383,-2.628069,-0.161407,-9.448741,0.002795,-0.000134,0.004425
0.076368,-2.628605,-0.158366,-9.450310,0.002385,-0.000098,0.004358
0.083293,-2.626644,-0.159110,-9.446787,0.002239,-0.000355,0.004300
0.097213,-2.626605,-0.160439,-9.440626,0.002073,-0.000176,0.004221
0.104116,-2.626854,-0.160940,-9.440815,0.002029,0.000039,0.004189
0.111142,-2.626567,-0.160795,-9.441645,0.001938,0.000115,0.004153
0.118086,-2.626024,-0.160894,-9.441981,0.001855,0.000165,0.004114
0.124999,-2.623864,-0.168076,-9.440405,0.002932,0.000032,0.004142
0.138901,-2.621487,-0.159585,-9.391290,0.001184,-0.001636,0.000173
0.145797,-2.627223,-0.165615,-9.404700,0.001722,0.000283,0.000138
0.152746,-2.628278,-0.163641,-9.422935,0.001758,0.001594,0.000155
0.159711,-2.631549,-0.217344,-9.448994,0.005214,0.003891,0.003797
0.173634,-2.631943,-0.159873,-9.470743,0.002755,0.003858,0.004084
0.180579,-2.628860,-0.159525,-9.469026,0.002462,0.002399,0.004001
0.187431,-2.626256,-0.160578,-9.465791,0.002367,0.000938,0.003923
0.194452,-2.624894,-0.161159,-9.460594,0.002278,-0.000226,0.003852
0.201310,-2.616826,-0.167616,-9.447772,0.003349,-0.002031,0.003827
