t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.000000,-1.003074,-0.314901,-9.807002,0.0000000,0.0000000,-0.0000000
0.013932,-1.003093,-0.314122,-9.807323,0.0000000,0.0000000,-0.0000000
0.020813,-1.003085,-0.313649,-9.807501,0.0000000,0.0000000,-0.0000000
0.027829,-1.003922,-0.319993,-9.806058,0.0000000,0.0000000,-0.0000000
0.034784,-1.003717,-0.317839,-9.806624,0.0000000,0.0000000,-0.0000000
0.048572,-1.003879,-0.318361,-9.806643,0.0000000,0.0000000,-0.0000000
0.055583,-1.004347,-0.321825,-9.805878,0.0000000,0.0000000,-0.0000000
0.062504,-1.003975,-0.318530,-9.806732,0.0000000,0.0000000,-0.0000000
0.069609,-1.005073,-0.326756,-9.804821,0.0000000,0.0000000,-0.0000000
0.083715,-1.006022,-0.333840,-9.803234,0.0000000,0.0000000,-0.0000000
0.090403,-1.002926,-0.308315,-9.809463,0.0000000,0.0000000,-0.0000000
0.097232,-1.004025,-0.317198,-9.807397,0.0000000,0.0000000,-0.0000000
0.104205,-1.004957,-0.323850,-9.805850,0.0000000,0.0000000,-0.0000000
0.118034,-1.004698,-0.321055,-9.806656,0.0000000,0.0000000,-0.0000000
0.125016,-1.005340,-0.325757,-9.805578,0.0000000,0.0000000,-0.0000000
0.131928,-1.005067,-0.323375,-9.806233,0.0000000,0.0000000,-0.0000000
0.138958,-1.005762,-0.328793,-9.804980,0.0000000,0.0000000,-0.0000000
0.146441,-1.008051,-0.346670,-9.800685,0.0000000,0.0000000,-0.0000000
0.153349,-1.002513,-0.301156,-9.811832,0.0000000,0.0000000,-0.0000000
0.167299,-1.006050,-0.329388,-9.805101,0.0000000,0.0000000,-0.0000000
0.174247,-1.005945,-0.327985,-9.805501,0.0000000,0.0000000,-0.0000000
0.181168,-1.005889,-0.327421,-9.805714,0.0000000,0.0000000,-0.0000000
0.188113,-1.006155,-0.328951,-9.805408,0.0000000,0.0000000,-0.0000000
0.195068,-1.006258,-0.329820,-9.805259,0.0000000,0.0000000,-0.0000000
0.208926,-1.006325,-0.329325,-9.805512,0.0000000,0.0000000,-0.0000000
0.215823,-1.006330,-0.329036,-9.805653,0.0000000,0.0000000,-0.0000000
0.222888,-1.007279,-0.336321,-9.803926,0.0000000,0.0000000,-0.0000000
0.229793,-1.006568,-0.330350,-9.805464,0.0000000,0.0000000,-0.0000000
0.243813,-1.006609,-0.329682,-9.805750,0.0000000,0.0000000,-0.0000000
0.250722,-1.007113,-0.324114,-9.969380,0.1228027,0.0045914,0.0744179
0.257783,-1.006756,-0.331527,-5.672602,0.2246604,0.0060134,0.1656933
0.264626,-1.003630,-0.329417,-2.213081,0.3117956,-0.0034463,0.2656136
0.271629,-1.002074,-0.344391,0.009240,0.3808616,-0.0253107,0.3665174
0.285527,-0.996169,-0.360607,2.623767,0.4559847,-0.0767674,0.5388837
0.292540,-0.992630,-0.368970,2.982549,0.4686691,-0.0980351,0.5996658
0.299383,-0.987690,-0.373289,3.432292,0.4709430,-0.1137736,0.6407219
0.306393,-0.982962,-0.380255,3.006507,0.4669229,-0.1237822,0.6626709
0.320287,-0.971511,-0.389392,2.499219,0.4520074,-0.1297971,0.6589869
0.327264,-0.965583,-0.393069,1.955028,0.4449818,-0.1281991,0.6403954
0.334127,-0.959870,-0.398023,1.663025,0.4395415,-0.1251034,0.6157197
0.341133,-0.954063,-0.399388,0.941450,0.4359421,-0.1214127,0.5884962
0.354984,-0.939621,-0.383986,-5.685403,0.6783432,-0.0986508,0.6299860
0.362029,-0.933561,-0.375033,-6.249406,0.7968117,-0.0951114,0.6683373
0.369160,-0.927148,-0.369964,-6.627746,0.8937863,-0.0966234,0.7108704
0.375884,-0.921255,-0.382300,-7.473617,1.0027384,-0.0954775,0.7530080
0.389731,-0.905490,-0.374293,-8.918790,1.0482873,-0.1114917,0.8219264
0.396686,-0.896715,-0.373816,-9.513423,0.9902495,-0.1259308,0.8450459
0.403602,-0.888036,-0.383943,-10.024269,0.9210039,-0.1372409,0.8598332
0.410601,-0.879369,-0.383671,-10.458347,0.8576359,-0.1434068,0.8667777
0.417501,-0.871280,-0.400188,-10.848945,0.8099315,-0.1445074,0.8669666
0.431381,-0.855818,-0.420935,-11.472150,0.7696168,-0.1374178,0.8530498
0.438627,-0.847823,-0.373435,-11.595379,0.7708861,-0.1326146,0.8421525
