t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.000000,-0.000047,-0.003662,-9.810325,0.0006299,0.0005775,-0.0000286
0.006873,-0.000030,0.003198,-9.809176,0.0005493,0.0005323,0.0000380
0.020800,0.000262,0.003230,-9.809692,0.0005432,0.0005443,0.0000386
0.027851,0.000004,0.000165,-9.810289,0.0005068,0.0005263,0.0000387
0.034811,-0.000128,-0.003546,-9.810182,0.0006207,0.0005575,-0.0000267
0.041673,0.000079,0.003237,-9.809482,0.0005348,0.0005289,0.0000399
0.055642,-0.000346,-0.003580,-9.810470,0.0006365,0.0005652,-0.0000291
0.062521,0.000105,0.003290,-9.809356,0.0005492,0.0005322,0.0000381
0.069519,-0.000098,-0.003341,-9.810477,0.0006346,0.0005536,-0.0000279
0.076441,0.000168,0.003259,-9.809419,0.0005459,0.0005274,0.0000385
0.083426,-0.000129,-0.003413,-9.810575,0.0006345,0.0005537,-0.0000279
0.090339,0.000138,0.003220,-9.809536,0.0005473,0.0005318,0.0000384
0.104250,0.000231,0.003169,-9.809793,0.0005463,0.0005492,0.0000382
0.111121,0.000031,0.000235,-9.810196,0.0005069,0.0005262,0.0000387
0.118140,-0.000195,-0.003660,-9.810019,0.0006335,0.0005541,-0.0000279
0.125001,0.000154,0.003277,-9.809412,0.0005459,0.0005274,0.0000385
0.138982,-0.000137,0.003466,-9.810180,0.0005192,0.0005148,0.0000380
0.145805,0.000254,0.000104,-9.810109,0.0005062,0.0005264,0.0000389
0.152887,-0.000044,-0.003822,-9.809715,0.0006633,0.0005778,-0.0000286
0.159763,-0.000047,0.003381,-9.809818,0.0005497,0.0005320,0.0000381
0.173657,0.000270,0.003335,-9.809684,0.0005432,0.0005443,0.0000386
0.180577,0.000003,0.000169,-9.810295,0.0005068,0.0005263,0.0000387
0.187607,-0.000198,-0.003660,-9.810016,0.0006339,0.0005542,-0.0000280
0.194503,0.000123,0.003201,-9.809519,0.0005491,0.0005323,0.0000381
0.208354,0.000138,0.003203,-9.809518,0.0005490,0.0005323,0.0000381
0.215262,0.000049,-0.003378,-9.810818,0.0006306,0.0005769,-0.0000285
0.222294,-0.000013,0.003132,-9.809196,0.0005492,0.0005323,0.0000381
0.229234,0.000128,0.000256,-9.810468,0.0005068,0.0005261,0.0000388
