t_s,regime,in_settle,anchored,consec_det,det,det_range_m,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s
55.574,settle,1,0,0,0,-1.00,+0.0000,+0.0000,+0.0000,0.266,+0.000,+0.000,-0.000,inf
55.615,settle,1,0,0,0,-1.00,+0.0001,-0.3107,-0.0115,0.279,+0.019,+0.600,-0.000,inf
56.136,settle,1,0,0,0,-1.00,+0.0002,-0.3106,-0.0157,0.279,+0.026,+0.600,-0.000,inf
56.650,anchor,0,0,1,1,10.20,+0.0095,-0.6169,-0.0127,0.325,+0.086,+0.600,-0.000,inf
57.157,anchor,0,0,2,1,8.63,+0.0302,-0.9212,-0.0247,0.372,+0.171,+0.600,-0.000,inf
57.678,anchor,0,0,0,0,-1.00,+0.1659,-1.2330,-0.1230,0.372,+0.600,+0.600,-0.000,inf
58.157,anchor,0,0,0,0,-1.00,+1.2326,-1.4922,-1.1142,0.372,+0.600,+0.600,-0.000,inf
58.630,anchor,0,0,0,0,-1.00,-2.9866,-1.2709,-3.0047,0.372,-0.007,+0.600,-0.000,inf
58.984,anchor,0,0,0,0,-1.00,-2.8775,-1.0634,-2.8928,0.372,-0.149,+0.600,-0.000,inf
59.352,anchor,0,0,0,0,-1.00,-2.9485,-0.8486,-2.8064,0.372,-0.490,+0.600,-0.000,inf
