t_s,regime,anchored,consec_det,det,det_range_m,trk_range_m,trk_az,trk_el,coast,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s
56.830,settle,0,0,0,-1.00,-1.00,+0.000,+0.000,1,+0.0000,+0.0000,+0.0000,0.266,+0.000,+0.000,-0.000,inf
56.864,settle,0,1,1,36.21,36.21,+0.322,-0.019,0,-0.0000,-0.3107,-0.0084,0.279,+0.000,+0.000,-0.000,inf
57.362,settle,0,2,1,38.05,37.13,+0.322,-0.019,0,+0.0000,-0.3105,-0.0105,0.279,+0.000,+0.000,-0.000,inf
57.855,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,1,-0.0000,-0.3105,-0.0087,0.276,+0.000,+0.000,-0.000,inf
58.320,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,2,+0.0001,-0.3105,-0.0126,0.275,+0.000,+0.000,-0.000,inf
58.806,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,3,+0.0001,-0.3105,-0.0113,0.275,+0.000,+0.000,-0.000,inf
59.306,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,4,+0.0001,-0.3105,-0.0119,0.275,+0.000,+0.000,-0.000,inf
59.793,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,5,+0.0001,-0.2474,-0.0108,0.270,+0.000,+0.000,-0.000,inf
60.279,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,6,+0.0000,-0.2374,-0.0109,0.270,+0.000,+0.000,-0.000,inf
60.772,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,7,+0.0000,-0.2412,-0.0111,0.271,+0.000,+0.000,-0.000,inf
61.265,anchor,0,0,0,-1.00,37.13,+0.322,-0.019,8,+0.0001,-0.2476,-0.0135,0.271,+0.000,+0.000,-0.000,inf
61.751,anchor,0,0,0,-1.00,-1.00,+0.000,+0.000,9,+0.0000,-0.2548,-0.0123,0.272,+0.000,+0.000,-0.000,inf
62.238,anchor,0,0,0,-1.00,-1.00,+0.000,+0.000,10,-0.0000,-0.2619,-0.0113,0.272,+0.000,+0.000,-0.000,inf
62.766,anchor,0,1,1,59.58,59.58,-0.430,+0.069,0,-0.0001,-0.2685,-0.0089,0.272,+0.000,+0.000,-0.000,inf
63.252,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,1,-0.0004,-0.2746,-0.0044,0.272,+0.000,+0.000,-0.000,inf
63.745,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,2,-0.0002,-0.2799,-0.0052,0.273,+0.000,+0.000,-0.000,inf
64.252,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,3,-0.0002,-0.2847,-0.0046,0.273,+0.000,+0.000,-0.000,inf
64.724,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,4,-0.0002,-0.2887,-0.0043,0.274,+0.000,+0.000,-0.000,inf
65.203,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,5,-0.0002,-0.2921,-0.0034,0.273,+0.000,+0.000,-0.000,inf
65.697,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,6,-0.0002,-0.2950,-0.0032,0.273,+0.000,+0.000,-0.000,inf
66.183,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,7,-0.0038,-0.1410,-0.0014,0.264,+0.000,+0.000,-0.000,inf
66.662,anchor,0,0,0,-1.00,59.58,-0.430,+0.069,8,-0.0030,-0.1474,-0.0014,0.264,+0.000,+0.000,-0.000,inf
67.148,anchor,0,0,0,-1.00,-1.00,+0.000,+0.000,9,-0.0023,-0.1461,-0.0014,0.264,+0.000,+0.000,-0.000,inf
67.620,anchor,0,1,1,45.25,45.25,+0.241,+0.353,0,-0.0018,-0.1395,-0.0016,0.264,+0.000,+0.000,-0.000,inf
68.100,anchor,0,2,1,41.02,43.14,+0.243,+0.353,0,-0.0014,-0.1306,-0.0034,0.263,+0.000,+0.000,-0.000,inf
68.572,egress,1,3,1,41.77,42.46,+0.250,+0.353,0,-0.0011,-0.1208,-0.0037,0.263,-0.011,+1.208,+0.001,inf
69.044,egress,1,0,0,-1.00,42.46,+0.250,+0.353,1,-0.0008,-0.1108,-0.0038,0.263,-0.008,+0.506,-0.001,inf
69.503,pursuit,1,1,1,36.96,39.71,+0.272,+0.410,0,-0.0070,-0.6728,-0.0001,0.334,+0.777,+1.500,-1.500,inf
69.968,reacq,1,0,0,-1.00,39.71,+0.272,+0.410,1,-0.0138,-0.9108,+0.0047,0.372,+0.000,+0.000,-0.000,inf
70.406,reacq,1,0,0,-1.00,39.71,+0.272,+0.410,2,+1.6986,-0.9102,-1.5777,0.372,+0.000,+0.000,-0.000,inf
70.864,reacq,1,0,0,-1.00,39.71,+0.272,+0.410,3,+1.7075,-0.9093,-1.5868,0.372,+0.000,+0.000,-0.000,inf
71.329,reacq,1,0,0,-1.00,39.71,+0.272,+0.410,4,+1.7086,-0.9092,-1.5879,0.372,+0.000,+0.000,-0.000,inf
