t_s,regime,anchored,pass_armed,passing,gi,consec_det,det_range_m,trk_range_m,trk_az,trk_el,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s,tick_dt_ms,nav_ms
58.3556,settle,0,0,0,0,1,40.5747,40.5747,0.3289,-0.0186,0.0000,0.0000,0.0000,0.2656,0.0000,0.0000,-0.0000,inf,0.0000,21.8108
58.3973,settle,0,0,0,0,2,41.1924,40.8835,0.3289,-0.0182,-0.0001,-0.3107,-0.0066,0.2785,0.0000,0.0000,-0.0000,inf,41.8861,514.7693
58.9253,settle,1,0,0,0,3,36.2060,38.5448,0.3254,-0.0186,0.0001,-0.3106,-0.0116,0.2785,0.0000,0.0000,-0.0000,inf,525.2861,497.4172
59.4394,egress,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,0.0000,-0.3106,-0.0101,0.2785,-0.0026,1.5000,0.0147,inf,509.1961,486.0014
59.9326,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,0.0002,-0.3106,-0.0134,0.2739,0.0000,0.0000,-0.0000,inf,499.3559,489.8211
60.4396,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,-0.0135,-1.0930,0.0039,0.3718,0.0000,0.0000,0.0000,inf,503.2628,476.5910
60.9257,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,-0.0161,-1.0982,0.0071,0.3718,0.0000,0.0000,0.0000,inf,487.6442,510.3168
61.4398,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,-0.0172,-1.0987,0.0085,0.3718,0.0000,0.0000,0.0000,inf,519.1438,501.5090
61.9539,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,-0.0187,-1.0988,0.0103,0.3718,0.0000,0.0000,0.0000,inf,510.0105,467.3265
62.4260,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,-0.0204,-1.0988,0.0124,0.3718,0.0000,0.0000,0.0000,inf,474.6007,463.3124
62.8949,reacq,1,0,0,0,0,-1.0000,38.5448,0.3254,-0.0186,-0.0212,-1.0988,0.0134,0.3718,0.0000,0.0000,0.0000,inf,472.5519,445.4253
63.3603,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,-0.0217,-1.0988,0.0140,0.3718,0.0000,0.0000,0.0000,inf,455.1262,464.1094
63.8327,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,-0.0218,-1.0988,0.0140,0.3718,0.0000,0.0000,0.0000,inf,472.5211,438.3781
64.2771,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,-0.0218,-1.0988,0.0140,0.3718,0.0000,0.0000,0.0000,inf,446.6072,304.2163
64.5827,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,-0.0218,-1.0988,0.0140,0.3718,0.0000,0.0000,0.0000,inf,310.8433,302.5149
64.8952,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,-0.0179,-1.0988,0.0095,0.3718,0.0000,0.0000,0.0000,inf,307.9325,297.7006
65.1939,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,-0.0220,-1.0988,0.0142,0.3718,0.0000,0.0000,0.0000,inf,302.9435,330.3802
