frame_id,sim_ms,recv_ms,dt_recv_ms
871,1782763754488.526,8419179.366,0.000
872,1782763754523.263,8419214.522,35.156
873,1782763754550.930,8419242.538,28.017
874,1782763754585.665,8419276.601,34.062
875,1782763754620.456,8419311.490,34.890
876,1782763754655.180,8419346.220,34.730
877,1782763754689.915,8419380.475,34.254
878,1782763754717.609,8419408.901,28.426
879,1782763754752.418,8419445.504,36.602
880,1782763754787.625,8419479.333,33.830
881,1782763754822.065,8419933.204,453.871
882,1782763754856.741,8419944.044,10.839
883,1782763754884.426,8419963.866,19.823
884,1782763754919.093,8419970.136,6.270
890,1782763755120.579,8419971.663,1.527
891,1782763755155.626,8419974.268,2.605
892,1782763755207.612,8419977.232,2.964
893,1782763755243.216,8419980.304,3.072
894,1782763755257.003,8419983.180,2.876
895,1782763755284.400,8420417.823,434.643
896,1782763755318.957,8420428.600,10.776
897,1782763755353.769,8420440.960,12.360
908,1782763755722.215,8420463.884,22.924
909,1782763755756.729,8420470.891,7.007
910,1782763755784.458,8420485.629,14.739
911,1782763755819.066,8420891.595,405.966
912,1782763755853.775,8420900.917,9.322
922,1782763756187.138,8420929.117,28.200
923,1782763756222.146,8420938.021,8.904
924,1782763756256.880,8421370.462,432.441
925,1782763756284.463,8421378.784,8.323
926,1782763756319.178,8421397.493,18.709
936,1782763756652.662,8421413.383,15.890
937,1782763756687.381,8421417.464,4.081
938,1782763756722.233,8421429.225,11.761
939,1782763756756.978,8421870.644,441.419
940,1782763756784.646,8421878.917,8.274
951,1782763757152.656,8421910.254,31.337
952,1782763757187.451,8421915.049,4.794
953,1782763757222.362,8421926.388,11.339
954,1782763757256.977,8422355.713,429.324
955,1782763757284.651,8422365.375,9.662
956,1782763757319.370,8422388.895,23.520
966,1782763757652.734,8422398.036,9.141
967,1782763757687.422,8422407.346,9.310
968,1782763757722.218,8422847.035,439.689
969,1782763757757.203,8422857.766,10.731
970,1782763757784.742,8422886.737,28.971
981,1782763758152.754,8422892.504,5.767
982,1782763758187.656,8422904.678,12.173
983,1782763758222.386,8423342.262,437.584
984,1782763758257.201,8423354.167,11.905
985,1782763758284.801,8423379.457,25.291
995,1782763758618.137,8423383.066,3.608
996,1782763758653.087,8423386.098,3.033
997,1782763758687.756,8423397.296,11.197
998,1782763758722.384,8423823.847,426.552
999,1782763758757.185,8423836.015,12.168
1000,1782763758784.908,8423866.693,30.678
1010,1782763759118.177,8423868.976,2.283
1011,1782763759153.012,8423875.680,6.704
1012,1782763759187.712,8424156.811,281.132
1013,1782763759222.420,8424321.978,165.167
1014,1782763759257.135,8424331.266,9.288
1015,1782763759284.891,8424359.474,28.208
1025,1782763759618.263,8424364.083,4.609
1026,1782763759653.132,8424371.672,7.589
1027,1782763759687.889,8424628.514,256.841
1028,1782763759722.579,8424810.423,181.909
1029,1782763759757.355,8424821.717,11.294
1039,1782763760090.755,8424846.825,25.107
1040,1782763760118.643,8424849.915,3.090
1041,1782763760153.330,8424859.475,9.560
1042,1782763760187.983,8425320.944,461.469
1043,1782763760222.767,8425331.620,10.676
1044,1782763760257.451,8425351.833,20.212
1055,1782763760618.716,8425366.936,15.103
1056,1782763760653.551,8425374.937,8.001
1057,1782763760688.172,8425389.290,14.353
1058,1782763760722.992,8425824.848,435.559
1059,1782763760757.754,8425833.713,8.865
1060,1782763760785.486,8425860.245,26.532
1070,1782763761118.624,8425863.027,2.781
1071,1782763761153.418,8425871.961,8.934
1072,1782763761188.152,8426309.989,438.028
1073,1782763761222.881,8426320.341,10.352
1074,1782763761257.591,8426339.721,19.381
1085,1782763761618.721,8426359.280,19.559
1086,1782763761653.506,8426369.806,10.526
1087,1782763761688.311,8426729.448,359.642
1088,1782763761722.956,8426815.691,86.243
1089,1782763761758.146,8426825.551,9.860
1099,1782763762091.044,8426847.262,21.710
1100,1782763762118.786,8426854.719,7.457
1101,1782763762153.598,8426864.957,10.238
1102,1782763762188.231,8427217.997,353.040
1103,1782763762223.000,8427296.333,78.336
1104,1782763762250.774,8427304.107,7.775
1114,1782763762584.254,8427332.908,28.800
1115,1782763762618.978,8427340.080,7.173
1116,1782763762653.674,8427352.067,11.987
1117,1782763762688.404,8427771.620,419.553
1118,1782763762723.030,8427781.938,10.318
1128,1782763763056.585,8427809.750,27.812
1129,1782763763084.541,8427814.217,4.467
1130,1782763763119.236,8427824.693,10.476
1131,1782763763153.872,8428264.573,439.880
1132,1782763763188.528,8428275.545,10.972
1133,1782763763223.259,8428303.398,27.853
1143,1782763763556.698,8428306.042,2.644
1144,1782763763584.597,8428310.868,4.826
1145,1782763763619.365,8428321.259,10.391
1146,1782763763653.888,8428741.114,419.855
1147,1782763763688.653,8428749.368,8.254
1148,1782763763723.403,8428776.067,26.699
1157,1782763764022.093,8428792.102,16.035
1158,1782763764056.800,8428796.254,4.152
1159,1782763764084.601,8428803.590,7.336
1160,1782763764119.372,8429228.860,425.270
1161,1782763764153.992,8429239.838,10.978
1162,1782763764188.653,8429257.544,17.706
1172,1782763764522.096,8429274.161,16.616
1173,1782763764556.871,8429281.120,6.959
1174,1782763764584.771,8429661.323,380.203
1175,1782763764619.388,8429717.723,56.400
1176,1782763764654.051,8429734.695,16.973
1186,1782763764987.443,8429754.047,19.352
1187,1782763765022.188,8429755.946,1.898
1188,1782763765056.873,8429766.115,10.169
1189,1782763765084.808,8429981.693,215.578
1190,1782763765119.385,8430194.431,212.738
1191,1782763765154.081,8430204.410,9.979
1201,1782763765487.504,8430222.897,18.487
1202,1782763765522.236,8430236.763,13.866
1203,1782763765556.948,8430247.975,11.212
1204,1782763765584.795,8430671.935,423.960
1205,1782763765619.520,8430682.114,10.179
1215,1782763765952.860,8430712.208,30.094
1216,1782763765987.664,8430717.062,4.854
1217,1782763766022.318,8430727.383,10.321
1218,1782763766056.982,8431135.360,407.977
1219,1782763766084.795,8431144.396,9.036
1220,1782763766119.548,8431162.624,18.228
1229,1782763766418.127,8431174.868,12.244
1230,1782763766452.974,8431179.080,4.213
1231,1782763766487.681,8431189.334,10.254
1232,1782763766522.329,8431608.175,418.841
1233,1782763766556.961,8431617.588,9.413
1234,1782763766584.829,8431625.811,8.223
1243,1782763766890.270,8431648.002,22.191
1244,1782763766918.198,8431652.024,4.022
1245,1782763766952.965,8431663.794,11.770
1246,1782763766987.737,8432064.187,400.393
1247,1782763767022.437,8432074.158,9.971
1248,1782763767057.126,8432083.951,9.792
1257,1782763767355.882,8432110.439,26.488
1258,1782763767390.533,8432115.100,4.662
1259,1782763767418.386,8432123.392,8.292
1260,1782763767453.003,8432531.488,408.096
1261,1782763767487.781,8432539.761,8.273
1262,1782763767522.549,8432548.529,8.768
1271,1782763767821.147,8432578.205,29.676
1272,1782763767855.920,8432583.883,5.678
1273,1782763767890.711,8432602.159,18.276
1274,1782763767918.810,8432981.935,379.776
1275,1782763767953.147,8432990.455,8.520
1276,1782763767987.876,8433007.803,17.348
1285,1782763768286.627,8433014.229,6.426
1286,1782763768321.423,8433023.578,9.349
1287,1782763768356.122,8433438.728,415.150
1288,1782763768390.811,8433450.986,12.258
1289,1782763768418.614,8433466.552,15.566
1298,1782763768724.464,8433480.889,14.337
1299,1782763768752.225,8433483.496,2.606
1300,1782763768786.831,8433493.463,9.967
1301,1782763768821.331,8433909.708,416.245
1302,1782763768856.089,8433919.013,9.305
1312,1782763769189.459,8433940.555,21.543
1313,1782763769224.278,8433944.922,4.367
1314,1782763769252.256,8433957.175,12.253
1315,1782763769286.719,8434437.061,479.886
1316,1782763769321.496,8434449.249,12.188
1319,1782763769418.931,8434476.352,27.103
1320,1782763769453.574,8434477.702,1.350
1323,1782763769557.731,8434478.665,0.963
1326,1782763769656.846,8434479.552,0.888
1327,1782763769685.005,8434481.041,1.489
1328,1782763769722.226,8434482.057,1.016
1329,1782763769755.518,8434484.362,2.306
1330,1782763769790.223,8434488.182,3.820
