frame_id,sim_ms,recv_ms,dt_recv_ms
975,1782763893921.321,8558612.822,0.000
976,1782763893956.034,8558647.140,34.318
977,1782763893990.743,8558681.585,34.446
978,1782763894025.406,8558716.597,35.012
979,1782763894060.204,8558759.827,43.230
980,1782763894088.012,8558778.829,19.002
981,1782763894122.989,8558814.598,35.769
982,1782763894157.614,8559258.777,444.179
983,1782763894192.255,8559268.300,9.523
984,1782763894227.006,8559298.562,30.261
994,1782763894560.401,8559301.539,2.977
995,1782763894588.315,8559310.093,8.554
996,1782763894622.928,8559375.449,65.356
997,1782763894657.562,8559747.842,372.394
998,1782763894692.325,8559758.612,10.770
1008,1782763895025.613,8559782.897,24.285
1009,1782763895060.336,8559786.573,3.676
1010,1782763895088.246,8559795.998,9.424
1011,1782763895122.985,8560222.385,426.387
1012,1782763895157.658,8560230.484,8.100
1013,1782763895192.350,8560257.995,27.510
1023,1782763895525.750,8560263.246,5.252
1024,1782763895560.666,8560273.379,10.132
1025,1782763895588.433,8560691.282,417.903
1026,1782763895623.179,8560699.491,8.210
1027,1782763895657.895,8560731.481,31.990
1037,1782763895991.216,8560735.464,3.983
1038,1782763896025.952,8560745.409,9.944
1039,1782763896060.741,8561173.647,428.238
1040,1782763896088.569,8561181.857,8.210
1041,1782763896123.233,8561213.026,31.170
1051,1782763896456.519,8561216.972,3.945
1052,1782763896491.307,8561222.187,5.216
1053,1782763896526.040,8561240.317,18.130
1054,1782763896560.657,8561655.663,415.345
1055,1782763896588.770,8561664.289,8.627
1066,1782763896956.580,8561693.838,29.548
1067,1782763896991.327,8561703.080,9.242
1068,1782763897026.116,8562138.684,435.604
1069,1782763897060.762,8562146.003,7.320
1070,1782763897088.570,8562152.945,6.942
1071,1782763897123.174,8562171.098,18.153
1080,1782763897421.866,8562186.700,15.602
1081,1782763897456.674,8562188.721,2.021
1082,1782763897491.408,8562200.228,11.507
1083,1782763897526.000,8562216.922,16.695
