frame_id,sim_ms,recv_ms,dt_recv_ms
1223,1782764007954.670,8672646.486,0.000
1224,1782764007982.287,8672673.022,26.536
1225,1782764008017.025,8672707.821,34.799
1226,1782764008051.795,8672744.132,36.311
1227,1782764008086.556,8672777.795,33.664
1228,1782764008121.512,8672971.403,193.607
1229,1782764008149.065,8673249.967,278.565
1230,1782764008183.778,8673259.871,9.903
1241,1782764008551.887,8673287.055,27.184
1242,1782764008586.885,8673296.780,9.725
1243,1782764008621.603,8673728.446,431.666
1244,1782764008649.057,8673736.272,7.826
1245,1782764008683.761,8673753.050,16.778
1255,1782764009017.284,8673771.921,18.872
1256,1782764009052.066,8673777.617,5.695
1257,1782764009086.855,8674207.037,429.420
1258,1782764009121.455,8674218.288,11.251
1259,1782764009149.273,8674225.602,7.314
1270,1782764009517.331,8674258.377,32.776
1271,1782764009552.110,8674269.417,11.040
1272,1782764009586.840,8674702.562,433.145
1273,1782764009621.509,8674718.428,15.865
1274,1782764009649.267,8674740.170,21.742
1284,1782764009982.645,8674742.774,2.604
1285,1782764010017.406,8674748.644,5.870
1286,1782764010052.197,8674926.744,178.100
1287,1782764010086.749,8675188.795,262.051
1288,1782764010121.495,8675201.038,12.242
1299,1782764010482.649,8675225.612,24.574
1300,1782764010517.417,8675233.229,7.618
1301,1782764010552.234,8675245.491,12.261
1302,1782764010586.865,8675678.717,433.226
1303,1782764010621.538,8675686.976,8.259
1304,1782764010649.348,8675702.173,15.197
1308,1782764010788.273,8675708.832,6.659
1312,1782764010920.295,8675709.801,0.969
1313,1782764010955.008,8675710.633,0.832
1314,1782764010982.906,8675712.695,2.062
1315,1782764011017.785,8675717.691,4.996
1316,1782764011052.333,8675742.511,24.820
1317,1782764011086.987,8675777.680,35.169
