frame_id,sim_ms,recv_ms,dt_recv_ms
1026,1782764125975.250,8790666.694,0.000
1027,1782764126010.017,8790701.496,34.803
1028,1782764126044.755,8790735.717,34.221
1029,1782764126079.494,8790771.694,35.977
1030,1782764126114.214,8790804.571,32.877
1031,1782764126141.978,8790842.251,37.679
1032,1782764126176.759,8790868.266,26.015
1033,1782764126211.539,8790902.851,34.585
1034,1782764126246.349,8791344.122,441.271
1035,1782764126281.876,8791353.626,9.505
1036,1782764126308.760,8791370.599,16.973
1037,1782764126343.471,8791382.008,11.409
1046,1782764126642.240,8791384.393,2.385
1047,1782764126676.980,8791393.724,9.330
1048,1782764126711.644,8791816.616,422.893
1049,1782764126746.469,8791832.738,16.122
1050,1782764126781.130,8791842.182,9.443
1060,1782764127107.545,8791871.330,29.148
1061,1782764127142.331,8791875.802,4.472
1062,1782764127177.036,8791886.791,10.989
1063,1782764127211.673,8792318.011,431.220
1064,1782764127246.538,8792330.027,12.016
1065,1782764127274.189,8792358.076,28.049
1072,1782764127510.366,8792362.214,4.138
1075,1782764127607.537,8792363.624,1.411
1076,1782764127642.374,8792370.179,6.554
1077,1782764127677.083,8792795.905,425.726
1078,1782764127711.676,8792806.330,10.425
1079,1782764127746.470,8792837.950,31.620
1089,1782764128079.931,8792841.567,3.618
1090,1782764128107.731,8792844.289,2.722
1091,1782764128142.363,8793283.720,439.431
1092,1782764128177.070,8793293.434,9.713
1093,1782764128211.815,8793310.515,17.082
1104,1782764128579.938,8793331.188,20.672
1105,1782764128607.736,8793336.365,5.177
1106,1782764128642.573,8793419.104,82.739
1107,1782764128677.159,8793781.335,362.231
1108,1782764128711.898,8793792.432,11.097
1119,1782764129079.990,8793819.743,27.312
1120,1782764129107.848,8793827.184,7.441
1121,1782764129142.625,8793838.402,11.218
1122,1782764129177.271,8794260.454,422.051
1123,1782764129212.005,8794271.473,11.019
1133,1782764129545.235,8794298.766,27.293
1134,1782764129580.177,8794304.058,5.292
1135,1782764129607.964,8794312.281,8.223
1136,1782764129642.703,8794613.431,301.150
1137,1782764129677.386,8794622.555,9.124
1138,1782764129712.113,8794637.460,14.906
1144,1782764129913.499,8794650.622,13.161
1145,1782764129941.440,8794657.646,7.024
1146,1782764129976.246,8795064.145,406.499
1147,1782764130010.766,8795071.927,7.782
1148,1782764130045.460,8795090.871,18.943
1150,1782764130108.086,8795107.777,16.907
1155,1782764130274.835,8795109.149,1.372
1157,1782764130344.203,8795110.256,1.107
1158,1782764130379.042,8795112.604,2.348
1159,1782764130413.649,8795117.688,5.083
1160,1782764130441.374,8795131.527,13.840
1161,1782764130476.066,8795166.341,34.813
