t,a_thrust,a_roll,a_pitch,a_yaw,seg
0.00000,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.02500,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.05000,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.07500,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.10000,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.12500,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.15000,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.17500,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.20000,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.22500,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.25000,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.27500,-0.600000,0.400000,0.000000,0.000000,roll+0.40
0.30000,-0.600000,0.000000,0.000000,0.000000,rest
0.32500,-0.600000,0.000000,0.000000,0.000000,rest
0.35000,-0.600000,0.000000,0.000000,0.000000,rest
0.37500,-0.600000,0.000000,0.000000,0.000000,rest
0.40000,-0.600000,0.000000,0.000000,0.000000,rest
0.42500,-0.600000,0.000000,0.000000,0.000000,rest
0.45000,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.47500,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.50000,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.52500,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.55000,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.57500,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.60000,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.62500,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.65000,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.67500,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.70000,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.72500,-0.600000,-0.400000,0.000000,0.000000,roll-0.40
0.75000,-0.600000,0.000000,0.000000,0.000000,rest
0.77500,-0.600000,0.000000,0.000000,0.000000,rest
0.80000,-0.600000,0.000000,0.000000,0.000000,rest
0.82500,-0.600000,0.000000,0.000000,0.000000,rest
0.85000,-0.600000,0.000000,0.000000,0.000000,rest
0.87500,-0.600000,0.000000,0.000000,0.000000,rest
0.90000,-0.600000,0.200000,0.000000,0.000000,roll+0.20
0.92500,-0.600000,0.200000,0.000000,0.000000,roll+0.20
0.95000,-0.600000,0.200000,0.000000,0.000000,roll+0.20
0.97500,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.00000,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.02500,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.05000,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.07500,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.10000,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.12500,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.15000,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.17500,-0.600000,0.200000,0.000000,0.000000,roll+0.20
1.20000,-0.600000,0.000000,0.000000,0.000000,rest
1.22500,-0.600000,0.000000,0.000000,0.000000,rest
1.25000,-0.600000,0.000000,0.000000,0.000000,rest
1.27500,-0.600000,0.000000,0.000000,0.000000,rest
1.30000,-0.600000,0.000000,0.000000,0.000000,rest
1.32500,-0.600000,0.000000,0.000000,0.000000,rest
1.35000,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.37500,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.40000,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.42500,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.45000,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.47500,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.50000,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.52500,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.55000,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.57500,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.60000,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.62500,-0.600000,-0.200000,0.000000,0.000000,roll-0.20
1.65000,-0.600000,0.000000,0.000000,0.000000,rest
1.67500,-0.600000,0.000000,0.000000,0.000000,rest
1.70000,-0.600000,0.000000,0.000000,0.000000,rest
1.72500,-0.600000,0.000000,0.000000,0.000000,rest
1.75000,-0.600000,0.000000,0.000000,0.000000,rest
1.77500,-0.600000,0.000000,0.000000,0.000000,rest
1.80000,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.82500,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.85000,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.87500,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.90000,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.92500,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.95000,-0.600000,0.800000,0.000000,0.000000,roll+0.80
1.97500,-0.600000,0.800000,0.000000,0.000000,roll+0.80
2.00000,-0.600000,0.800000,0.000000,0.000000,roll+0.80
2.02500,-0.600000,0.800000,0.000000,0.000000,roll+0.80
2.05000,-0.600000,0.800000,0.000000,0.000000,roll+0.80
2.07500,-0.600000,0.800000,0.000000,0.000000,roll+0.80
2.10000,-0.600000,0.000000,0.000000,0.000000,rest
2.12500,-0.600000,0.000000,0.000000,0.000000,rest
2.15000,-0.600000,0.000000,0.000000,0.000000,rest
2.17500,-0.600000,0.000000,0.000000,0.000000,rest
2.20000,-0.600000,0.000000,0.000000,0.000000,rest
2.22500,-0.600000,0.000000,0.000000,0.000000,rest
2.25000,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.27500,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.30000,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.32500,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.35000,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.37500,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.40000,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.42500,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.45000,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.47500,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.50000,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.52500,-0.600000,-0.800000,0.000000,0.000000,roll-0.80
2.55000,-0.600000,0.000000,0.000000,0.000000,rest
2.57500,-0.600000,0.000000,0.000000,0.000000,rest
2.60000,-0.600000,0.000000,0.000000,0.000000,rest
2.62500,-0.600000,0.000000,0.000000,0.000000,rest
2.65000,-0.600000,0.000000,0.000000,0.000000,rest
2.67500,-0.600000,0.000000,0.000000,0.000000,rest
2.70000,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.72500,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.75000,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.77500,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.80000,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.82500,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.85000,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.87500,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.90000,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.92500,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.95000,-0.600000,0.600000,0.000000,0.000000,roll+0.60
2.97500,-0.600000,0.600000,0.000000,0.000000,roll+0.60
3.00000,-0.600000,0.000000,0.000000,0.000000,rest
3.02500,-0.600000,0.000000,0.000000,0.000000,rest
3.05000,-0.600000,0.000000,0.000000,0.000000,rest
3.07500,-0.600000,0.000000,0.000000,0.000000,rest
3.10000,-0.600000,0.000000,0.000000,0.000000,rest
3.12500,-0.600000,0.000000,0.000000,0.000000,rest
3.15000,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.17500,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.20000,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.22500,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.25000,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.27500,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.30000,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.32500,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.35000,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.37500,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.40000,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.42500,-0.600000,-0.600000,0.000000,0.000000,roll-0.60
3.45000,-0.600000,0.000000,0.000000,0.000000,rest
3.47500,-0.600000,0.000000,0.000000,0.000000,rest
3.50000,-0.600000,0.000000,0.000000,0.000000,rest
3.52500,-0.600000,0.000000,0.000000,0.000000,rest
3.55000,-0.600000,0.000000,0.000000,0.000000,rest
3.57500,-0.600000,0.000000,0.000000,0.000000,rest
