t,a_thrust,a_roll,a_pitch,a_yaw,seg
0.00000,0.200000,0.000000,0.000000,0.000000,thr_3g
0.02500,0.200000,0.000000,0.000000,0.000000,thr_3g
0.05000,0.200000,0.000000,0.000000,0.000000,thr_3g
0.07500,0.200000,0.000000,0.000000,0.000000,thr_3g
0.10000,0.200000,0.000000,0.000000,0.000000,thr_3g
0.12500,0.200000,0.000000,0.000000,0.000000,thr_3g
0.15000,0.200000,0.000000,0.000000,0.000000,thr_3g
0.17500,0.200000,0.000000,0.000000,0.000000,thr_3g
0.20000,0.200000,0.000000,0.000000,0.000000,thr_3g
0.22500,0.200000,0.000000,0.000000,0.000000,thr_3g
0.25000,0.200000,0.000000,0.000000,0.000000,thr_3g
0.27500,0.200000,0.000000,0.000000,0.000000,thr_3g
0.30000,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.32500,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.35000,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.37500,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.40000,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.42500,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.45000,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.47500,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.50000,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.52500,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.55000,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.57500,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.60000,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.62500,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.65000,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.67500,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.70000,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.72500,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.75000,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.77500,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.80000,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.82500,0.000000,0.000000,0.000000,0.000000,thr_2.5g
0.85000,-0.600000,0.000000,0.000000,0.000000,thr_1g
0.87500,-0.600000,0.000000,0.000000,0.000000,thr_1g
