t,a_thrust,a_roll,a_pitch,a_yaw,seg
0.00000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.02500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.05000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.07500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.10000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.12500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.15000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.17500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.20000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.22500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.25000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.27500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.30000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.32500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.35000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.37500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.40000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.42500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.45000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.47500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.50000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.52500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.55000,0.200000,0.000000,0.000000,0.000000,launch_3g
0.57500,0.200000,0.000000,0.000000,0.000000,launch_3g
0.60000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.62500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.65000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.67500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.70000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.72500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.75000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.77500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.80000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.82500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.85000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.87500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.90000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.92500,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.95000,-0.600000,0.000000,0.000000,0.000000,hold_hover
0.97500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.00000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.02500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.05000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.07500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.10000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.12500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.15000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.17500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.20000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.22500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.25000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.27500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.30000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.32500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.35000,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.37500,-0.600000,0.000000,0.000000,0.000000,hold_hover
1.40000,0.200000,0.000000,0.000000,0.000000,launch_3g
1.42500,0.200000,0.000000,0.000000,0.000000,launch_3g
1.45000,0.200000,0.000000,0.000000,0.000000,launch_3g
1.47500,0.200000,0.000000,0.000000,0.000000,launch_3g
1.50000,0.200000,0.000000,0.000000,0.000000,launch_3g
1.52500,0.200000,0.000000,0.000000,0.000000,launch_3g
1.55000,0.200000,0.000000,0.000000,0.000000,launch_3g
1.57500,0.200000,0.000000,0.000000,0.000000,launch_3g
1.60000,0.200000,0.000000,0.000000,0.000000,launch_3g
1.62500,0.200000,0.000000,0.000000,0.000000,launch_3g
1.65000,0.200000,0.000000,0.000000,0.000000,launch_3g
