t,a_thrust,a_roll,a_pitch,a_yaw,seg
0.00000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.02500,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.05000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.07500,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.10000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.12500,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.15000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.17500,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.20000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.22500,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.25000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.27500,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.30000,-0.600000,0.000000,-0.100000,0.000000,pitch_30
0.32500,-0.600000,0.000000,0.000000,0.000000,settle
0.35000,-0.600000,0.000000,0.000000,0.000000,settle
0.37500,-0.600000,0.000000,0.000000,0.000000,settle
0.40000,-0.600000,0.000000,0.000000,0.000000,settle
0.42500,-0.600000,0.000000,0.000000,0.000000,settle
0.45000,-0.600000,0.000000,0.000000,0.000000,settle
0.47500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.50000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.52500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.55000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.57500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.60000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.62500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.65000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.67500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.70000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.72500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.75000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.77500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.80000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.82500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.85000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.87500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.90000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.92500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.95000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
0.97500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.00000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.02500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.05000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.07500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.10000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.12500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.15000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.17500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.20000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.22500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.25000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.27500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.30000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.32500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.35000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.37500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.40000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.42500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.45000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.47500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.50000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.52500,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
1.55000,-0.200000,0.000000,0.000000,0.000000,thrust2g_30
