t,a_thrust,a_roll,a_pitch,a_yaw,seg,gate,src_k,kf_speed
0.0000,-0.48000000,-0.00856688,-0.00000000,0.10509554,g0+a,0,0,0.00
0.0250,-0.48000000,-0.00856688,-0.00000000,0.10509554,g0+a,0,0,0.00
0.0500,-0.48000000,-0.04735669,-0.00000000,0.15347134,g0+a,0,1,0.00
0.0750,-0.48000000,-0.04792994,-0.00000000,0.14480892,g0+a,0,2,0.03
0.1000,-0.66116000,-0.04640127,-0.00000000,0.10210191,g0,0,3,0.10
0.1250,-0.66116000,-0.04640127,-0.00000000,0.10210191,g0,0,3,0.10
0.1500,-0.64686400,-0.10605096,-0.00000000,-0.05987261,g0,0,4,0.23
0.1750,-0.65378000,-0.11458599,-0.00000000,-0.08506369,g0,0,5,0.39
0.2000,-0.63777600,-0.05888535,-0.00000000,-0.07519108,g0,0,6,0.49
0.2250,-0.63777600,-0.05888535,-0.00000000,-0.07519108,g0,0,6,0.49
0.2500,-0.63777600,-0.05888535,-0.00000000,-0.07519108,g0,0,6,0.49
0.2750,-0.63364800,0.02557325,-0.00000000,0.02566879,g0,0,7,0.60
0.3000,-0.63454000,0.05171975,-0.00000000,0.06955414,g0,0,8,0.71
0.3250,-0.63454000,0.05171975,-0.00000000,0.06955414,g0,0,8,0.71
0.3500,-0.63659600,0.06041401,-0.00000000,0.09891720,g0,0,9,0.81
0.3750,-0.64338000,0.05226115,-0.00000000,0.10961783,g0,0,10,0.93
0.4000,-0.64338000,0.05226115,-0.00000000,0.10961783,g0,0,10,0.93
0.4250,-0.63848400,0.02958599,-0.00000000,0.05630573,g0,0,11,0.99
0.4500,-0.63848400,0.02958599,-0.00000000,0.05630573,g0,0,11,0.99
0.4750,-0.63700400,-0.05920382,-0.00000000,-0.09729299,g0,0,12,1.16
0.5000,-0.63784800,-0.06687898,-0.00000000,-0.11729299,g0,0,13,1.28
0.5250,-0.62959200,-0.02445860,-0.00000000,-0.10885350,g0,0,14,1.38
0.5500,-0.62959200,-0.02445860,-0.00000000,-0.10885350,g0,0,14,1.38
0.5750,-0.61236400,0.01678344,-0.00000000,-0.06614650,g0,0,15,1.46
0.6000,-0.60867600,0.04668790,-0.00000000,0.00509554,g0,0,16,1.56
0.6250,-0.61234400,0.06181529,-0.00000000,0.04885350,g0,0,17,1.58
0.6500,-0.61234400,0.06181529,-0.00000000,0.04885350,g0,0,17,1.58
0.6750,-0.61234400,0.06181529,-0.00000000,0.04885350,g0,0,17,1.58
0.7000,-0.61234400,0.06181529,-0.00000000,0.04885350,g0,0,17,1.58
0.7250,-0.61082000,0.05133758,-0.00000000,0.05519108,g0,0,19,1.98
0.7500,-0.61082000,0.05133758,-0.00000000,0.05519108,g0,0,19,1.98
0.7750,-0.60744400,0.05085987,-0.00000000,0.04280255,g0,0,20,2.03
0.8000,-0.57650800,0.03455414,-0.00000000,0.01455414,g0,0,21,2.08
0.8250,-0.57650800,0.03455414,-0.00000000,0.01455414,g0,0,21,2.08
0.8500,-0.57891200,0.01694268,-0.00000000,0.00264331,g0,0,22,2.21
0.8750,-0.57428800,0.00719745,-0.00000000,-0.02353503,g0,0,23,2.30
0.9000,-0.57428800,0.00719745,-0.00000000,-0.02353503,g0,0,23,2.30
0.9250,-0.54398000,0.00464968,-0.00000000,-0.02350318,g0,0,24,2.42
0.9500,-0.54398000,0.00464968,-0.00000000,-0.02350318,g0,0,24,2.42
0.9750,-0.54580400,0.00372611,-0.00000000,-0.01356688,g0,0,25,2.57
1.0000,-0.54422000,0.01095541,-0.00000000,0.00162420,g0,0,26,2.65
1.0250,-0.53002800,0.01914013,-0.00000000,0.00624204,g0,0,27,2.79
